Site, Begin date,Day,Month,Year," Arsenic, water, filtered, micrograms per liter"," Arsenic, water, unfiltered, micrograms per liter"," Cadmium, water, filtered, micrograms per liter"," Cadmium, water, unfiltered, micrograms per liter"," Copper, water, filtered, micrograms per liter"," Copper, water, unfiltered, recoverable, micrograms per liter"," Iron, water, unfiltered, recoverable, micrograms per liter"," Iron, water, filtered, micrograms per liter"," Lead, water, filtered, micrograms per liter"," Lead, water, unfiltered, recoverable, micrograms per liter"," Manganese, water, unfiltered, recoverable, micrograms per liter"," Manganese, water, filtered, micrograms per liter"," Zinc, water, filtered, micrograms per liter"," Zinc, water, unfiltered, recoverable, micrograms per liter"
FH,6/20/2007,20,6,2007,3.1,3.5,0.04,0.07,2,8.1,262,14.3,0.06,1.17,26.3,4.19,3.6,13.7
FH,6/27/2007,27,6,2007,2.9,2.9,0.04,0.02,2,4.5,119,15.5,0.12,0.46,13.2,2.61,1.6,5
FH,6/3/2008,3,6,2008,1.8,3.6,0.031,0.128,2.7,18.6,1340,25.7,0.088,3.5,79,4.34,2.7,36.1
FH,6/11/2008,11,6,2008,2.6,4.2,0.025,0.132,3,16.5,809,23.8,0.108,2.82,60.1,5.89,3.7,28
FH,6/25/2008,25,6,2008,2.3,3.2,0.04,0.076,2.6,11.4,807,27.6,0.091,2.03,48.1,4.04,3.2,19.9
FH,6/1/2009,1,6,2009,2.3,4,0.021,0.126,3.5,17.8,1530,25.5,0.091,4.03,90.8,3.97,2.3,33.6
FH,6/5/2009,5,6,2009,2.3,3.7,0.023,0.088,3.1,14.3,879,26.7,0.096,2.64,60.1,5.99,3.2,23.9
FH,6/9/2009,9,6,2009,2.4,3.4,0.031,0.071,2.7,12,701,24.9,0.083,2.25,53.4,7.71,3.8,20.3
FH,6/16/2009,16,6,2009,1.9,2.5,0.016,0.046,2,8.7,570,20,0.061,1.6,38.1,2.78,1.5,12.8
FH,6/24/2009,24,6,2009,2.6,3.1,0.019,0.06,2.9,7.9,405,24.7,0.072,1.34,30.7,3.57,2.1,10.5
GR,6/2/2009,2,6,2009,21.6,43.5,0.11,0.605,20.2,182,2140,33.5,0.393,22.2,246,22.6,15.9,142
GR,6/23/2009,23,6,2009,18.4,27.7,0.098,0.336,15.7,87.6,1180,28.4,0.222,12.3,131,19.1,9.7,70.2
GR,7/14/2009,14,7,2009,16.1,21.9,0.073,0.249,11.1,61.5,632,15.6,0.115,13.5,140,18.5,5.8,38.4
GR,8/18/2009,18,8,2009,19.8,21.6,0.062,0.168,14.1,27.4,364,7.2,0.1,3.34,92,19.9,4.3,21.4
GR,6/2/2010,2,6,2010,16.4,37,0.075,0.695,10.5,168,2690,14.1,0.177,23.6,304,23.6,6.4,145
GR,6/15/2010,15,6,2010,17.7,31.2,0.099,0.453,12.9,124,1780,22.6,0.241,15.7,196,17,6.7,98.6
GR,7/20/2010,20,7,2010,18.1,19.9,0.077,0.234,8.8,20.7,180,5.7,0.085,1.69,54.3,29.7,4.2,16.5
GR,8/25/2010,25,8,2010,15.9,17.9,0.057,0.082,7,12.4,119,7.8,0.076,0.9,40.6,19.4,4.7,10.1
GR,6/1/2011,1,6,2011,23.2,37.8,0.102,0.519,16.4,129,1990,25.8,0.302,17.9,191,18.5,7.1,99.5
GR,6/8/2011,8,6,2011,24.8,52.6,0.175,0.863,38.8,227,,210,1.19,33.7,310,46,24.9,198
GR,6/14/2011,14,6,2011,36.7,46,0.227,0.447,40.6,103,1330,43.2,0.342,10.8,99,28.1,37.1,93.9
GR,6/24/2011,24,6,2011,34.4,50.9,0.201,0.388,36.2,103,1400,46.4,0.403,10.8,120,51.5,28,78.6
GR,6/29/2011,29,6,2011,30.6,38.7,0.189,0.421,27.7,94.2,1230,38.4,0.35,10.8,126,49.9,20.7,77.1
GR,7/13/2011,13,7,2011,20.4,30.8,0.118,0.345,14.8,83.5,1310,29.7,0.274,10.7,129,45.4,9.6,63.7
GR,8/16/2011,16,8,2011,19.4,20.7,0.099,0.138,9.1,21.8,241,8.1,0.07,1.9,66.6,29.6,5.4,18.2
GR,6/6/2012,6,6,2012,16.2,41.4,0.082,0.835,16.6,222,3860,39.3,0.422,32.3,344,42.4,8.8,181
GR,6/19/2012,19,6,2012,11.5,13.7,0.059,0.151,7.9,32.9,468,17.6,0.151,3.74,60.1,20.3,4.4,25.2
GR,7/17/2012,17,7,2012,21.9,20.9,0.07,0.087,10.9,17.2,114,17.6,0.126,1.05,39.8,13.5,2.6,9
GR,8/14/2012,14,8,2012,17.9,17.4,0.039,0.061,7.7,14.4,111,9.8,0.096,1.02,59.8,21.6,1.9,8
GR,6/4/2013,4,6,2013,17.1,21.5,0.051,0.261,7.9,51.8,815,22.4,0.247,6.43,138,30.6,4.8,44.5
GR,6/18/2013,18,6,2013,18.4,19.4,0.045,0.118,7.3,20.9,215,13.5,0.135,2.02,76.3,41.4,2.1,14.8
GR,7/16/2013,16,7,2013,16.2,17.4,0.03,0.027,7.1,10.2,46.1,10,0.135,0.39,19.7,12.3,4.9,3
GR,8/13/2013,13,8,2013,16.1,15.2,0.024,0.034,6.2,10,66.9,9.2,0.113,0.57,36.6,19.9,2.3,4.6
GR,6/10/2014,10,6,2014,15.2,22.2,0.069,0.248,10.1,54.7,797,19.1,0.216,6.82,102,20.3,5,40.9
GR,7/15/2014,15,7,2014,19.6,19.8,0.066,0.076,8.9,16.6,127,20.9,0.208,1.21,45.7,31,3.2,8.8
GR,8/12/2014,12,8,2014,17.3,17.8,0.042,0.047,7.2,11.1,58.4,9.5,0.076,0.55,29.6,14.8,2.3,5.4
GR,6/9/2015,9,6,2015,18.7,29,0.084,0.34,14.4,89.2,1260,64.4,0.715,9.97,126,23.3,6.7,67
GR,7/14/2015,14,7,2015,17.2,18.5,0.05,0.04,8.1,10.8,57.3,60.2,0.086,0.43,13.4,8.56,2,5
GR,8/11/2015,11,8,2015,16.1,16.4,0.03,0.04,9.2,11.3,40.7,7,0.057,0.33,24.3,12,2,3
GR,6/7/2016,7,6,2016,19.2,23.5,0.046,0.18,10.5,41.8,555,,0.19,4.83,81,19.5,2.7,30
GR,7/12/2016,12,7,2016,15.3,15.7,0.044,0.05,7.9,12.9,103,11.1,0.082,0.79,28.8,9.22,2,8
GR,8/9/2016,9,8,2016,15.3,17.8,0.03,0.03,7.4,9.7,21.5,7.7,0.044,0.15,10.3,4.68,2,3
GR,6/13/2017,13,6,2017,27.4,138,0.102,3.25,36.6,869,,105,0.955,132,1060,164,17.8,800
GR,7/11/2017,11,7,2017,19.6,20.4,0.082,0.14,11.5,23.6,224,17.2,0.132,2.4,58.5,29.9,8.4,18
GR,8/15/2017,15,8,2017,16.8,17.1,0.03,0.03,8.3,10.2,21.9,10,0.059,0.16,6.4,2.68,2,2
GR,6/6/2018,6,6,2018,38,39,0.505,0.54,23.9,142,1920,51.7,14.8,15.7,158,167,95.4,105
GR,7/17/2018,17,7,2018,19.6,22.7,0.076,0.14,11.4,25.2,237,12.8,0.113,1.92,44.9,18.8,4.3,16
GR,8/14/2018,14,8,2018,20.8,20.9,0.062,0.07,10.2,13.8,50,10,0.086,0.42,14.9,7.56,2.1,5
GR,6/4/2019,4,6,2019,16.3,33.1,0.084,0.37,14.4,107,1780,29.4,0.245,13.7,133,12.5,5.9,79
GR,7/16/2019,16,7,2019,17.8,21.1,0.061,0.13,8.2,22.3,263,10.7,0.109,1.84,66.8,21.7,2.9,16
GR,8/20/2019,20,8,2019,16.9,19.9,0.05,0.1,7.3,18.6,188,10.8,0.123,1.46,78.3,23.2,2.6,13
GR,9/9/2019,9,9,2019,17,26.8,0.053,0.65,7.7,127,1940,15.1,0.168,15.9,465,29.7,4.1,119
GR,9/10/2019,10,9,2019,21,25.8,0.074,0.34,14.9,64.6,953,87,0.708,7.37,218,26.8,9.4,58
GR,9/19/2019,19,9,2019,14.3,15.5,0.04,0.13,8.8,23.5,309,10.5,0.091,2.13,72.9,1.32,4.7,20
GR,9/24/2019,24,9,2019,14,18.4,0.052,0.17,8.1,22.5,1020,14.5,0.134,2.88,159,3.92,3.8,26
GR,6/2/2020,2,6,2020,12.1,28.6,0.1,0.51,13.8,159,2330,36.1,0.37,18.2,189,16.3,6.8,111
GR,7/14/2020,14,7,2020,13.4,16.9,0.099,0.18,8.7,32.3,394,13.7,0.117,2.94,50.1,15.3,3.1,20
GR,8/18/2020,18,8,2020,15,15.4,0.075,0.13,7.1,15,130,10,0.089,0.99,49.6,24.6,2.1,10
GR,6/8/2021,8,6,2021,11.2,20.1,0.084,0.33,8.2,76.3,1080,15.1,0.174,9.43,144,18.3,4.9,55
GR,7/13/2021,13,7,2021,13.9,15.2,0.067,0.09,7.2,13.8,106,15,0.144,0.92,59.1,35.6,2.4,8
GR,8/17/2021,17,8,2021,13.4,13.6,0.094,0.08,7.7,11,75.1,13.2,0.117,0.61,42.8,15.5,2,6
GR,6/9/2022,9,6,2022,12.6,23.9,0.178,0.53,7.3,98.9,1660,15.5,0.194,12.7,219,26.3,5.9,81
GR,7/13/2022,13,7,2022,15.1,15.8,0.085,0.11,8.1,16.5,164,22.5,0.215,1.36,59.4,38.7,3.4,12
GR,8/17/2022,17,8,2022,15.5,15.5,0.067,0.04,7.7,8.8,26.1,6.1,0.043,0.17,8.7,3.83,2,2
MS,6/2/1998,2,6,1998,3,4,0.1,1,2.2,9.5,310,19.4,0.6,1.1,40,13,10,20
MS,6/19/1998,19,6,1998,4,8,0.1,1,4.2,31.5,1490,18.1,0.6,6.1,140,2,10,50
MS,6/21/1998,21,6,1998,8,15,0.1,1,9.2,75,2690,37.5,0.6,12,260,2,10,120
MS,6/22/1998,22,6,1998,5,11,0.1,1,6.2,41.9,2170,27.9,0.6,7.7,180,2,10,70
MS,6/23/1998,23,6,1998,5,10,0.1,1,4.7,34.5,1620,32.2,0.6,6.6,140,4.1,10,60
MS,6/25/1998,25,6,1998,5,9,0.1,1,5.2,27,1020,15.8,0.6,4.4,100,2,10,50
MS,6/27/1998,27,6,1998,6,12,0.1,1,7.5,118,1770,29.3,0.6,8.7,180,2,10,80
MS,6/30/1998,30,6,1998,6,8,0.1,1,4.3,43.2,1800,22,0.6,6.6,160,5.03,10,70
MS,6/30/1998,30,6,1998,5,7,0.1,1,4,21.6,670,22.2,0.6,3.4,70,16.5,10,40
MS,8/25/1998,25,8,1998,4,4,0.1,1,1.5,3.1,80,5,0.6,1,30,15.1,10,10
MS,6/2/1999,2,6,1999,3,5,0.1,1,3.4,31.5,912,22.9,0.5,4.1,83.8,4.02,3,42.3
MS,6/4/1999,4,6,1999,3,8,0.1,1,5.4,50,1860,28.7,0.5,8.4,169,1.41,4.8,82
MS,6/7/1999,7,6,1999,3,5,0.1,1,4.2,24.9,970,23.1,0.5,4.3,81.7,3.55,4.1,37.2
MS,6/9/1999,9,6,1999,3,4,0.1,1,4.1,32.1,709,19.3,0.5,3.7,62.4,4.74,4,34.2
MS,6/9/1999,9,6,1999,3,5,0.1,1,4.3,17.5,607,24.1,0.5,2.8,65.6,9.09,20,22.2
MS,6/23/1999,23,6,1999,2,3,0.1,1,2.7,11.1,392,49.7,0.5,1.5,39.1,11,20,40
MS,8/15/1999,15,8,1999,4,5,0.1,0.1,1.8,4.8,107,10,0.5,1,23.2,1,1.1,31
MS,8/15/1999,15,8,1999,3,4,0.1,1,3.1,6.9,110,7,0.5,1,24.3,12.3,1.6,40
MS,8/19/1999,19,8,1999,4,5,0.1,0.1,1.6,5.5,138,10,0.5,0.8,45.5,1,1,31
MS,8/22/1999,22,8,1999,5,5,0.1,0.1,1.6,6.1,163,10,0.5,0.7,49,1.48,1.5,31
MS,8/24/1999,24,8,1999,4,5,0.1,0.1,1.2,8.3,210,5.9,0.5,1.2,57,6.83,1.2,31
MS,8/25/1999,25,8,1999,5,7,0.1,0.4,2.2,24.8,601,10,0.5,8.6,156,1.24,2.7,31.8
MS,8/27/1999,27,8,1999,4,5,0.1,0.1,1.2,3.4,71,10,0.5,1,25.9,1,1,31
MS,6/5/2000,5,6,2000,1.9,2,0.1,0.1,2,6.2,97.6,10,1,1,17.5,9.84,3.5,2
MS,7/21/2000,21,7,2000,2.3,3,0.1,0.1,0.7,2.3,79.5,6.4,1,1,25.5,14.2,2.6,3
MS,9/6/2000,6,9,2000,2.9,3,0.1,0.1,1.6,2.7,56.2,10,1,1,15.4,6.2,1.1,3
MS,6/5/2001,5,6,2001,4.1,6,0.1,0.1,4.3,16.8,330,18.5,1,3.06,73.7,12.9,2.6,26
MS,7/24/2001,24,7,2001,4.4,6,0.1,0.1,2.6,5.8,108,9.1,1,1,42.6,20.1,1.5,7
MS,8/17/2001,17,8,2001,3.6,4,0.1,0.1,1.3,3.4,66.8,6.6,1,1,28.3,,1,3
MS,8/21/2001,21,8,2001,3.6,4,0.1,0.1,1.6,4.6,133,10,1,1,37.6,,1,6
MS,9/5/2001,5,9,2001,3,3,0.1,0.1,0.9,2.7,66.5,10,1,1,27.1,10.2,1,4
MS,6/5/2002,5,6,2002,2.1,4,0.04,0.15,1.6,14.4,665,21.7,0.069,2.8,60.2,8.35,1.7,25
MS,6/25/2002,25,6,2002,2.3,3,0.022,0.048,1.6,6.3,400,11.4,0.049,1.26,40,8.13,1.4,9
MS,8/4/2002,4,8,2002,3,3,0.035,0.028,1.4,3.6,74.7,10,0.049,1,20.1,1.05,1.2,4
MS,8/6/2002,6,8,2002,2.9,3,0.04,0.024,1.6,6.4,114,5.7,0.062,1,28.5,5.66,1.4,7
MS,8/8/2002,8,8,2002,3.8,4,0.027,0.23,1.8,25.9,569,10.7,0.109,4.14,80.9,0.67,4.4,50
MS,8/10/2002,10,8,2002,5,8,0.023,0.326,2.1,34.4,832,6.6,0.091,6.05,80.5,0.86,4.7,69
MS,8/11/2002,11,8,2002,4.6,8,0.04,0.42,1.9,50.6,1300,8.4,0.117,8.67,102,0.99,6.1,95
MS,8/12/2002,12,8,2002,4.9,13,0.04,0.774,1.5,84.8,2130,17,0.194,15.4,162,2.87,4.8,172
MS,8/13/2002,13,8,2002,5.2,10,0.021,0.629,1.7,71.1,1880,14.3,0.152,13.1,144,0.86,7.4,151
MS,8/14/2002,14,8,2002,4.6,9,0.04,0.474,1.4,54.4,1460,14.9,0.137,9.44,113,1.2,3.9,116
MS,8/15/2002,15,8,2002,4.5,7,0.026,0.33,1.6,39.6,1050,5.7,0.07,6.81,86.6,0.52,6,84
MS,8/16/2002,16,8,2002,4.6,8,0.04,0.481,1.5,52.6,1350,11,0.127,9.06,103,0.86,5.3,109
MS,8/17/2002,17,8,2002,5.2,10,0.045,0.602,1.8,62.4,1570,8.7,0.11,10.7,121,0.45,10.3,134
MS,8/18/2002,18,8,2002,4.7,9,0.032,0.478,1.7,57,1370,8.7,0.122,9.66,108,0.65,7.3,116
MS,8/19/2002,19,8,2002,4.5,8,0.027,0.421,1.4,45.8,1190,9.6,0.4,7.84,93.4,0.85,5.4,101
MS,8/20/2002,20,8,2002,4.4,9,0.04,0.428,1.4,51.5,1210,13.1,0.191,8.74,97.5,4.97,4.7,106
MS,8/21/2002,21,8,2002,3.4,8,0.04,0.395,1.1,46.8,1170,14.9,0.121,8,92,29.8,1.7,99
MS,8/23/2002,23,8,2002,4.3,6,0.034,0.283,1.9,32.4,894,10,0.133,5.62,67.3,0.44,7.2,66
MS,8/24/2002,24,8,2002,4.5,6,0.03,0.29,1.9,34,877,5.2,0.098,5.79,68.8,0.65,7,67
MS,8/29/2002,29,8,2002,4.5,7,0.031,0.307,1.9,35.3,946,9.3,0.077,6.08,83.2,0.61,6.8,70
MS,8/31/2002,31,8,2002,3.2,3,0.019,0.093,1.7,4.7,107,10,0.08,1,20.6,0.44,3.6,12
MS,6/1/2003,1,6,2003,4.8,9,0.034,0.292,6.2,46.1,1740,34.2,0.197,8.65,154,1.92,6,81
MS,6/2/2003,2,6,2003,4.6,9,0.029,0.317,5.1,46,1480,41,0.223,7.93,137,14.2,4,79
MS,6/2/2003,2,6,2003,4.8,9,0.046,0.224,5.7,36.9,1320,26.4,0.173,6.72,119,1.67,4,64
MS,6/17/2003,17,6,2003,3.3,4,0.018,0.065,2.8,8.5,228,13.3,0.08,1.17,32.7,13.5,2.5,12
MS,7/29/2003,29,7,2003,4,4,0.037,0.022,1.9,3.5,71.5,8,0.08,0.32,28,15.9,1.1,4
MS,8/26/2003,26,8,2003,3.6,4,0.037,0.029,2,4.3,68.6,4.6,0.08,0.39,28,14.5,1.2,5
MS,6/3/2004,3,6,2004,2.2,2,0.04,0.051,1.7,5.8,199,15.5,0.042,0.82,26.8,14.2,2.1,9
MS,6/14/2004,14,6,2004,2.7,3,0.04,0.063,1.5,6.6,227,11.9,0.05,1.11,35.5,15,1.9,11
MS,7/20/2004,20,7,2004,3.5,5,0.04,0.138,1.5,13.9,400,15.5,0.096,2.33,66.7,37.7,0.8,25
MS,8/23/2004,23,8,2004,3.2,4,0.04,0.058,1.4,4.5,141,3.3,0.08,0.64,24.9,11.9,1,9
MS,6/3/2005,3,6,2005,4,7,0.033,0.208,4.2,31.9,926,32.1,0.167,5.32,122,8.02,3.9,48
MS,6/29/2005,29,6,2005,5.4,6,0.031,0.095,4.3,14.8,333,15.6,0.091,2.23,48.8,13.6,3.8,19
MS,7/27/2005,27,7,2005,3.8,4,0.04,0.063,2.4,6.1,84.8,9.3,0.054,0.52,24.7,13.8,1.3,8
MS,8/24/2005,24,8,2005,3.7,3.9,0.04,0.03,1.8,4.2,80.5,7,0.04,0.46,30.1,14.1,1.2,5
MS,6/5/2006,5,6,2006,2.6,3.4,0.04,0.083,1.9,10,485,13.1,0.055,1.7,44.2,15.3,1.6,18
MS,6/13/2006,13,6,2006,4.7,8.6,0.04,0.347,3.3,42.1,1350,14.1,0.12,6.89,99.2,17,2.6,91
MS,6/19/2006,19,6,2006,3.1,6.6,0.04,0.076,1.8,9.9,216,12.4,0.08,1.25,31.9,10.8,3.2,12
MS,6/26/2006,26,6,2006,3.2,4,0.04,0.096,1.6,17.7,314,11.8,0.1,1.6,28.7,11.3,2,19
MS,7/25/2006,25,7,2006,3.6,4.2,0.03,0.109,2,14.6,192,6.1,0.08,1.98,27.3,12.8,1.2,21
MS,8/25/2006,25,8,2006,3,3.3,0.04,0.075,1.7,8.1,155,7,0.04,0.97,24,9.95,2.8,12
MS,9/26/2006,26,9,2006,4.8,6.2,0.04,0.151,2,17.7,436,10.4,0.13,2.74,49,21.2,1.7,36
MS,6/6/2007,6,6,2007,4.1,7.2,0.04,0.2,2.3,29.5,994,17.5,0.12,5.05,101,10.4,3.2,56.5
MS,6/8/2007,8,6,2007,8.1,16.7,0.03,0.57,7.4,86,2550,38.8,0.33,14.1,233,17.2,6,140
MS,6/12/2007,12,6,2007,6.7,12.1,0.04,0.46,4.3,58.9,1710,14.4,0.08,9.06,152,17.7,3.5,104
MS,6/19/2007,19,6,2007,5.2,7,0.04,0.15,2.5,20.7,609,14.5,0.12,3.14,64.7,15.8,3.3,40.8
MS,6/20/2007,20,6,2007,5.1,7.1,0.02,0.21,2.6,23.2,682,16.6,0.07,6.07,80.9,17.6,2.9,45.5
MS,6/26/2007,26,6,2007,4.5,5.4,0.04,0.11,1.8,13.5,361,16.3,0.06,1.69,39,15.4,2.6,23.1
MS,7/25/2007,25,7,2007,3.6,4,0.02,0.09,1.9,13.9,182,5.3,0.08,1.73,33,9.52,2,16.9
MS,8/29/2007,29,8,2007,4.1,4.6,0.04,0.105,1.9,11.7,244,7.4,0.099,1.85,52.3,20.7,2.7,19.8
MS,6/2/2008,2,6,2008,3.2,6.1,0.027,0.187,3,29.9,1300,24.7,0.118,5.06,97.1,9.49,5.5,55.6
MS,6/5/2008,5,6,2008,3.8,9,0.029,0.291,4,46,1500,34,0.2,7.62,131,11.7,5.2,81.4
MS,6/10/2008,10,6,2008,4.7,7.7,0.028,0.204,3.9,29.5,943,18.3,0.083,5.02,89.4,10.9,5,50.1
MS,6/16/2008,16,6,2008,4.6,8.9,0.037,0.312,4.7,38.4,999,27.1,0.189,5.66,95.1,12.4,4.8,67.4
MS,6/24/2008,24,6,2008,4.7,7.2,0.04,0.145,3.4,24.9,808,18.2,0.107,3.95,69.5,13.7,3.9,42
MS,7/9/2008,9,7,2008,4.4,5.7,0.027,0.071,2.7,10.3,296,10.3,0.082,1.55,39.8,13.8,2.6,14.8
MS,8/19/2008,19,8,2008,3.6,4,0.04,0.014,1.5,2.5,51,8,0.08,0.18,20,9.17,1.8,3.3
MS,6/3/2009,3,6,2009,4.3,7.6,0.04,0.204,4.9,31.9,970,28.1,0.151,4.66,104,13.8,5.4,57.7
MS,6/4/2009,4,6,2009,4.5,7.2,0.036,0.226,4.3,29.7,863,19,0.096,4.55,90.7,16,5.6,51.4
MS,6/8/2009,8,6,2009,4.6,6.3,0.039,0.13,4.1,21.5,659,19.5,0.097,3.36,70.1,13.3,5.7,32.7
MS,6/15/2009,15,6,2009,4,5.2,0.02,0.078,3,13.7,390,15.6,0.069,2.08,43.6,9.49,2.8,20
MS,6/23/2009,23,6,2009,5.5,7.5,0.036,0.106,5.2,20.9,573,20,0.097,3.36,71.3,11.6,3.8,30.5
MS,6/24/2009,24,6,2009,5.2,7.1,0.04,0.112,5,20.7,480,17.4,0.117,3.12,58.2,9.44,3.8,26.5
MS,7/15/2009,15,7,2009,4.4,4.9,0.022,0.068,2.7,6.7,138,8.1,0.048,0.78,28.9,8.54,1.7,8.1
MS,8/19/2009,19,8,2009,5.4,6.1,0.023,0.067,2.3,5.8,140,5.9,0.041,0.88,33.9,9.3,1.6,7.7
MS,6/3/2010,3,6,2010,3.5,9,0.021,0.327,3.1,50.3,1530,17.6,0.103,8.59,171,10.6,3,90.8
MS,6/16/2010,16,6,2010,4.6,8.1,0.037,0.175,3.9,31.1,797,18.4,0.17,5.08,96.2,7.11,3.8,44.3
MS,7/21/2010,21,7,2010,4.5,5.3,0.028,0.047,3.2,5,70.9,3.3,0.053,0.48,15.6,6.29,2.6,6.2
MS,8/26/2010,26,8,2010,4.7,5.9,0.023,0.052,2.4,6.1,135,6,0.079,0.81,22.3,8.85,1.6,7.8
MS,6/2/2011,2,6,2011,3.5,6.7,0.031,0.173,3.5,29.5,1270,41.8,0.124,4.31,87.8,10.4,3.6,38.8
MS,6/9/2011,9,6,2011,6.3,23.1,0.057,0.83,10.2,145,4960,42.8,0.225,23,349,26.9,12,210
MS,6/15/2011,15,6,2011,7.1,13.2,0.046,0.345,7,53.1,2030,53.7,0.209,8.04,155,20,5.5,84.4
MS,6/30/2011,30,6,2011,6,8,0.04,0.143,4.6,24.1,1030,32,0.104,3.52,88.5,18.4,3.6,32
MS,7/14/2011,14,7,2011,5.6,7.1,0.029,0.082,3.6,14.2,466,17.8,0.084,2.02,52.5,15.8,2.4,16
MS,8/17/2011,17,8,2011,4.8,4.9,0.03,0.05,2,3.7,69.6,3.7,0.026,0.3,20.7,9.2,1.5,4.1
MS,6/7/2012,7,6,2012,2.9,5.4,0.018,0.097,3,19.3,954,26.1,0.108,3.71,81.7,5.15,2.3,24.2
MS,6/20/2012,20,6,2012,2.3,2.6,0.017,0.027,1.7,4.8,215,16.9,0.051,0.83,20.6,5.71,1.5,6.1
MS,7/18/2012,18,7,2012,3.3,2.9,0.016,0.023,1.7,2.1,47.3,9.2,0.025,0.13,10.9,5.53,1.6,3
MS,8/15/2012,15,8,2012,3.4,3.5,0.016,0.016,1.2,1.9,42.1,6.9,0.03,0.16,17.5,6.81,1.4,3
MS,6/5/2013,5,6,2013,2.5,3.5,0.016,0.065,2.1,8.4,329,17.4,0.087,1.56,41.6,5.34,2.4,11.9
MS,6/19/2013,19,6,2013,2.4,2.2,0.016,0.02,1.4,2.5,118,14.6,0.036,0.34,14.8,4.49,1.4,9
MS,7/17/2013,17,7,2013,2.6,2.7,0.016,0.016,1.5,1.9,48.6,5.4,0.025,0.14,10.1,5.15,1.5,3
MS,8/14/2013,14,8,2013,3.3,3.3,0.016,0.029,1,3.3,100,6.2,0.025,0.45,26.9,6.11,1.4,5.7
MS,6/11/2014,11,6,2014,2.1,2.9,0.03,0.046,1.7,4.8,290,20.7,0.041,0.71,24.3,6.54,2,6.2
MS,7/16/2014,16,7,2014,3.6,4,0.03,0.03,1.5,2.8,76.7,9.9,0.04,0.23,14.6,5.41,2,2.5
MS,8/13/2014,13,8,2014,3.1,3.4,0.03,0.03,1.5,2,40.9,5.2,0.04,0.16,14,5.59,2,2.3
MS,6/10/2015,10,6,2015,3.7,4.8,0.03,0.1,2.2,10.8,330,10.2,0.071,1.51,39.4,5.37,2,13
MS,7/15/2015,15,7,2015,3.1,3.3,0.03,0.03,1.9,2.8,45.5,4.8,0.04,0.17,11.1,3.48,2,4
MS,8/12/2015,12,8,2015,3.3,3.6,0.03,0.03,1.6,2.8,73.6,6.1,0.04,0.3,21.6,7.04,2,4
MS,6/8/2016,8,6,2016,2.8,3.1,0.03,0.04,2.6,4.5,214,11.8,0.043,0.7,23.5,4.71,2,6
MS,7/13/2016,13,7,2016,3.2,3.5,0.03,0.03,1.7,2.2,56.4,9.6,0.04,0.18,9.8,3.66,2,3
MS,8/10/2016,10,8,2016,2.8,3.7,0.03,0.04,1.1,3.7,342,6.4,0.04,0.82,45.8,5.78,2,8
MS,6/14/2017,14,6,2017,7.2,23.7,0.033,1.02,8,155,,150,0.724,27.8,479,44.6,8.6,259
MS,7/12/2017,12,7,2017,4,4,0.03,0.03,2.2,4.3,95.2,10.9,0.037,0.33,18.6,6.28,2,5
MS,8/16/2017,16,8,2017,3.1,3.4,0.03,0.03,1.5,2.1,70.8,10,0.036,0.14,12.6,5.62,2,3
MS,6/7/2018,7,6,2018,7.2,7.5,0.121,0.14,20.4,20.9,903,31.6,2.99,3.09,78,85,27.7,30
MS,7/18/2018,18,7,2018,5.1,5.7,0.03,0.05,2.6,6.7,143,10.2,0.05,0.67,26.8,10.3,2,7
MS,8/15/2018,15,8,2018,4.3,4.5,0.03,0.03,1.9,2.7,40.1,10,0.02,0.15,13.3,6.23,2,3
MS,6/5/2019,5,6,2019,3.5,5.1,0.03,0.08,3.3,13.2,536,21.8,0.072,1.85,45.7,8.08,2.3,19
MS,7/17/2019,17,7,2019,5.2,5.5,0.03,0.03,2.3,4.1,121,10,0.038,0.43,22.5,5.49,2,5
MS,8/21/2019,21,8,2019,4.6,4.9,0.03,0.03,1.8,3.6,53.4,10,0.024,0.25,17,5.67,2,4
MS,6/3/2020,3,6,2020,3.1,4.4,0.03,0.09,2.8,15.5,794,29.7,0.093,2.36,58.6,6.89,2.5,23
MS,7/15/2020,15,7,2020,4.2,4.9,0.031,0.05,2.9,7.2,176,10,0.052,0.78,24.2,9.83,2.4,9
MS,8/19/2020,19,8,2020,3.9,4.4,0.03,0.03,2,3.6,71.1,10,0.021,0.32,22.6,7.85,2,6
MS,6/9/2021,9,6,2021,2.1,2.9,0.03,0.05,1.9,8.5,417,18.1,0.052,1.34,37.1,4.96,2,12
MS,7/14/2021,14,7,2021,2.9,2.9,0.03,0.03,1.5,2.2,46.9,8.4,0.029,0.15,10.7,4.27,2,2
MS,8/18/2021,18,8,2021,3.2,3.6,0.03,0.03,1.4,2.8,98.1,8.4,0.024,0.3,22.2,6.98,2,6
MS,6/9/2022,9,6,2022,2.2,3.7,0.03,0.09,1.8,13.3,593,22.1,0.095,2.22,58.1,3.96,2,19
MS,7/14/2022,14,7,2022,3.2,3.2,0.03,0.03,1.6,3.6,157,10.8,0.04,0.51,17.3,4.42,2,5
MS,8/18/2022,18,8,2022,2.8,2.9,0.03,0.03,1.2,2.8,82.8,7,0.026,0.31,21.5,4.79,2,5
