,Year,Site,Q_CFS.x,LOG_Q_CFS.x,Q_CFS.y,anomaly,Days_Since_Freshet,pH,Specific conductance,"Temperature, water",Total dissolved solids,"Total Phosphorus, mixed forms",Turbidity,Orthophosphate,Ammonia,Nitrate + Nitrite,DNP,SNP,TNP,SNp,DIN,SN,"Total Nitrogen, mixed forms"
266,2013,FH,32700,4.514547753,7590,1.627178981,103,8.445,227,19.5,147550,9.04,1.015,3.53,8.73,10.405,5.420679887,14.62223451,16.73893805,0.873546127,19.135,132.185,151.32
376,2017,FH,34500,4.537819095,7590,1.656503812,46,8.14,209.3,20.1,135800,9,1.08,1.55,19.1,19.45,24.87096774,10.88333333,15.16666667,0.717582418,38.55,97.95,136.5
375,2017,FH,34500,4.537819095,7590,1.656503812,103,,,,,9.65,,,18.5,21.8,,14.7357513,18.9119171,0.779178082,40.3,142.2,182.5
373,2017,FH,34500,4.537819095,7590,1.656503812,70,8.305,222.75,19,144600,7.9,0.9165,1.6,22.05,27.75,31.125,16.79746835,23.10126582,0.727123288,49.8,132.7,182.5
291,2014,FH,41000,4.612783857,7590,1.754610377,45,7.93,153.35,18.5,99450,13.95,3.7,5.3,9.4,11.2,3.886792453,9.921146953,11.39784946,0.870440252,20.6,138.4,159
294,2014,FH,41000,4.612783857,7590,1.754610377,115,8.06,280.7,15.5,182600,8.05,1.54,4.1,10.8,7.7,4.512195122,15.65217391,17.95031056,0.871972318,18.5,126,144.5
293,2014,FH,41000,4.612783857,7590,1.754610377,86,,,,,9.733333333,,3.366666667,13.4,8.733333333,6.574257424,16.08219179,18.35616439,0.876119403,22.13333333,156.5333334,178.6666667
433,2019,FH,42000,4.62324929,7590,1.768761072,121,8.46,265.6,15.2,172950,10,5.19,10.5,14.85,8,2.176190476,9.715,12,0.809583333,22.85,97.15,120
434,2019,FH,42000,4.62324929,7590,1.768761072,52,8.45,208.55,17.4,135525,9,2.13,23.5,20,13.5,1.425531915,9.055555556,12.77777778,0.708695652,33.5,81.5,115
431,2019,FH,42000,4.62324929,7590,1.768761072,84,,,,,8,,16.66666667,25,11.66666667,2.2,12.5,17.08333334,0.731707317,36.66666667,100,136.6666667
230,2012,FH,42200,4.625312451,7590,1.771564185,57,8.28,110.95,14.35,72150,16.25,5.595,7.045,7.025,13.875,2.966643009,9.706153846,10.99230769,0.882995101,20.9,157.725,178.625
234,2012,FH,42200,4.625312451,7590,1.771564185,82,8.326666667,174.5333333,19.83333333,113533.3333,9.47,1.656666667,3.24,11.94666667,9.343333333,6.570987654,15.68145019,17.92960225,0.874612274,21.29,148.5033333,169.7933333
231,2012,FH,42200,4.625312451,7590,1.771564185,110,,,,,8.2,,4.166666667,7.663333333,10.085,4.259599999,18.05081301,20.2152439,0.892930755,17.74833333,148.0166667,165.765
233,2012,FH,42200,4.625312451,7590,1.771564185,134,8.55,211,15.25,137500,7.78,1.235,1.75,6.07,10.585,9.517142857,23.11053985,25.25128535,0.915222316,16.655,179.8,196.455
124,2009,FH,42500,4.62838893,7590,1.775752295,45,8.29,195.6,22.1,103933.3333,10.68666667,2.616666667,3.88,9.25,5.83,3.886597938,11.31503431,12.72613849,0.889117647,15.08,120.92,136
466,2020,FH,42900,4.632457292,7590,1.781305896,114,,,,,6.25,,4,20,10.75,7.6875,11.08,16,0.6925,30.75,69.25,100
82,2008,FH,45700,4.6599162,7590,1.819246193,29,8.165,124.1,14.45,65800,46,22.25,,15,41.5,,4.206521739,5.434782609,0.774,56.5,193.5,250
86,2008,FH,45700,4.6599162,7590,1.819246193,57,8.486666667,173.4333333,20.76666667,91966.66667,14,3.853333333,,10,15,,8.928571429,10.71428571,0.833333333,25,125,150
84,2008,FH,45700,4.6599162,7590,1.819246193,93,,,,,8.5,,,10,16,,12.62745098,15.68627451,0.805,26,107.3333333,133.3333333
193,2011,FH,54700,4.737987326,7590,1.931591046,41,8.206666667,144.8,16.6,94066.66667,22.8,9.153333333,7.6,9.833333333,21.56666667,4.131578947,4.938596491,6.315789474,0.781944444,31.4,112.6,144
194,2011,FH,54700,4.737987326,7590,1.931591046,69,8.463333333,196.3666667,18.56666667,127633.3333,15.3,1.126666667,4.525,9.9,5.25,3.348066298,6.762418301,7.752614379,0.87227585,15.15,103.465,118.615
195,2011,FH,54700,4.737987326,7590,1.931591046,100,8.505,223.5,14.95,145250,8.05,1.29,4.5,6.35,24.35,6.822222222,14.69565217,18.50931677,0.793959732,30.7,118.3,149
402,2018,FH,59700,4.775974331,7590,1.988737754,69,,,,,12.55,,3.1,9.633333333,11.4,6.784946235,8.961487386,10.6374502,0.842446941,21.03333333,112.4666667,133.5
404,2018,FH,59700,4.775974331,7590,1.988737754,97,,,,,10.36666667,,,11.75,24.33333333,,12.37138263,15.85209002,0.780425963,36.08333333,128.25,164.3333333
405,2018,FH,59700,4.775974331,7590,1.988737754,123,8.215,257.4,13.75,167400,8.95,1.205,1,25.6,19.05,44.65,12.16201117,17.15083799,0.709120521,44.65,108.85,153.5
267,2013,GR,394,2.595496222,270,1.134255305,48,8.47,453.95,18.65,295100,31.4,1.31,18.715,18.94,1.505,1.09243922,8.323248408,8.974363057,0.927447258,20.445,261.35,281.795
270,2013,GR,394,2.595496222,270,1.134255305,104,8.265,499.15,14.9,324350,29.835,2.085,16.175,9.04,9.025,1.116846986,8.503603151,9.10910005,0.933528351,18.065,253.705,271.77
268,2013,GR,394,2.595496222,270,1.134255305,72,,,,,27.52333333,,16.33666667,7.526666667,1.373333333,0.544786778,9.460700013,9.784062009,0.966950128,8.9,260.39,269.29
515,2021,GR,577,2.761175813,270,1.288063725,47,,,,,34.33333333,,4.666666667,25,2,5.785714285,6.786407768,7.572815535,0.896153846,27,233,260
517,2021,GR,577,2.761175813,270,1.288063725,80,,,,,30,,3,30,4,11.33333333,7.533333333,8.666666667,0.869230769,34,226,260
518,2021,GR,577,2.761175813,270,1.288063725,97,,,,,15.5,,2,20,34,27,11.03225806,14.51612903,0.76,54,171,225
520,2021,GR,577,2.761175813,270,1.288063725,124,,,,,7.5,,1,10,16,26,23.2,26.66666667,0.87,26,174,200
348,2016,GR,598,2.776701184,270,1.303504315,46,8.15,438.3,15.55,284700,43.25,1.37,23.1,21.9,1.25,1.002164502,6.05433526,6.589595376,0.91877193,23.15,261.85,285
349,2016,GR,598,2.776701184,270,1.303504315,77,,,,,30.16666667,,10.43333333,10.075,1.766666667,1.134984026,8.878176795,9.270718232,0.957657926,11.84166667,267.825,279.6666667
351,2016,GR,598,2.776701184,270,1.303504315,109,8.24,489.15,11.2,317800,22.7,1.21,7.45,24.15,34.9,7.926174497,10.32819383,12.92951542,0.798807496,59.05,234.45,293.5
322,2015,GR,807,2.906873535,270,1.440466813,66,,,,,24.03333333,,6.933333333,14.675,5.925,2.971153846,7.984743413,8.84188627,0.903058824,20.6,191.9,212.5
321,2015,GR,807,2.906873535,270,1.440466813,35,8.225,377.7,17.35,245700,31.35,1.885,10.85,8.7,1.65,0.953917051,9.797448166,10.12759171,0.967401575,10.35,307.15,317.5
324,2015,GR,807,2.906873535,270,1.440466813,105,8.2,482.45,11.5,313650,31.6,3.71,5.5,13.9,26.65,7.372727273,10.29905063,11.58227848,0.88920765,40.55,325.45,366
557,2022,GR,923,2.965201701,270,1.506419674,67,8.585,466.15,21,,34,1.695,7,15,6,3,5.411764706,6.029411765,0.897560976,21,184,205
295,2014,GR,978,2.990338855,270,1.535765935,11,8.325,344.7,18,224250,57.6,6.215,27.4,9.2,25.2,1.255474453,5.583333333,6.180555556,0.903370787,34.4,321.6,356
296,2014,GR,978,2.990338855,270,1.535765935,42,,,,,31.4,,17.63333333,12.25,1.65,0.788279773,7.943736729,8.386411889,0.94721519,13.9,249.4333333,263.3333333
236,2012,GR,999,2.999565488,270,1.546680374,39,,,,,48.0775,,19.3825,8.8675,1.78,0.549335741,5.823982112,6.045447455,0.963366592,10.6475,280.0025,290.65
235,2012,GR,999,2.999565488,270,1.546680374,17,8.435,281.7,14.25,182950,46.315,5.73,24.455,10.24,25.27,1.452054795,6.376120048,7.142826298,0.892660661,35.51,295.31,330.82
438,2019,GR,1420,3.152288344,270,1.739034482,124,,,,,94.66666667,,23.33333333,16.66666667,102,5.085714288,2.338028169,3.591549296,0.650980392,118.6666667,221.3333333,340
130,2009,GR,1420,3.152288344,270,1.739034482,74,8.603333333,429.3333333,19.36666667,228000,35.73666667,2.81,15.94,7.573333333,14.30666667,1.372647428,6.719149332,7.331405652,0.91648855,21.88,240.12,262
436,2019,GR,1420,3.152288344,270,1.739034482,87,8.65,443.9,19.7,288280,37.5,2.6,30,30,74,3.466666667,5.493333333,8.266666667,0.664516129,104,206,310
131,2009,GR,1420,3.152288344,270,1.739034482,100,8.35,446.6666667,17.73333333,237333.3333,20.80666667,2.326666667,8.946666667,8.43,6.05,1.618479881,10.53444409,11.23037488,0.938031384,14.48,219.1866667,233.6666667
377,2017,GR,1840,3.264817823,270,1.89591132,33,8.235,398.05,19,258700,35.85,2.15,15.1,13.5,2.5,1.059602649,7.489539749,7.935843794,0.943760984,16,268.5,284.5
380,2017,GR,1840,3.264817823,270,1.89591132,90,8.23,487.1,10.9,316600,35,2.665,10.9,13.7,180.8,17.8440367,9.385714286,14.94285714,0.628107075,194.5,328.5,523
378,2017,GR,1840,3.264817823,270,1.89591132,59,,,,,17.4,,4.55,12.53333333,74.35,19.09523809,13.45498084,18.44827586,0.72933541,86.88333333,234.1166667,321
166,2010,GR,1980,3.29666519,270,1.942825561,54,8.266666667,401,20.13333333,213000,88.53333333,22.74,37.63333333,8.8,14.6,0.621789194,3.839608434,4.103915662,0.93559633,23.4,339.9333333,363.3333333
164,2010,GR,1980,3.29666519,270,1.942825561,5,7.93,298,15.9,154800,116.5,19.8,47.9,25.4,119.1,3.016701461,3.025751073,4.266094421,0.709255533,144.5,352.5,497
165,2010,GR,1980,3.29666519,270,1.942825561,26,8.08,326.3333333,19.26666667,175266.6667,53.775,4.556666667,25.9,12.75,17.975,1.186293436,5.119014412,5.690376569,0.899591503,30.725,275.275,306
167,2010,GR,1980,3.29666519,270,1.942825561,82,8.443333333,426.3333333,14.53333333,226333.3333,37.63333333,3.786666667,18.13333333,10.3,33.56666667,2.419117648,6.301151461,7.466784766,0.843890866,43.86666667,237.1333333,281
474,2020,GR,2040,3.309630167,270,1.962255106,99,,,,,22.33333333,,13.66666667,20,36,4.097560975,8.686567165,11.19402985,0.776,56,194,250
406,2018,GR,2450,3.389166084,270,2.085774915,27,8.28,347.4,18.65,225900,53.25,4.94,20.35,11.5,25.55,1.820638821,5.388732394,6.084507042,0.885648148,37.05,286.95,324
409,2018,GR,2450,3.389166084,270,2.085774915,83,8.285,450.85,12.9,293150,31.9,3.48,7.9,24.9,89.3,14.4556962,7.956112853,11.53605016,0.689673913,114.2,253.8,368
408,2018,GR,2450,3.389166084,270,2.085774915,57,,,,,28.06666667,,7.633333333,19.4,65.86666667,11.17030568,8.980997621,12.01900237,0.747233202,85.26666667,252.0666666,337.3333333
199,2011,GR,2560,3.408239965,270,2.116534736,40,8.25,263.5333333,15.5,171366.6667,75.83333333,12.14333333,27.5,12.63333333,38.46666667,1.858181818,3.22945055,3.903296703,0.827364865,51.1,244.9,296
200,2011,GR,2560,3.408239965,270,2.116534736,68,8.446666667,332.5666667,16.9,216233.3333,51.56666667,3.386666667,31.5,14.3,65.8,2.542857143,4.361344538,5.914673561,0.737377049,80.1,224.9,305
201,2011,GR,2560,3.408239965,270,2.116534736,99,8.565,383.05,11.8,248950,32.3,2.82,15.65,12.7,56.4,4.415335463,7.287925697,9.427244582,0.773070608,69.1,235.4,304.5
88,2008,GR,,,,,,8.305,260.05,13.15,138250,126,18.4,,30,110.5,,2.853174603,3.968253968,0.719,140.5,359.5,500
89,2008,GR,,,,,,,,,,60.25,,,16.66666667,3,,5.067773167,5.394190871,0.939487179,19.66666667,305.3333333,325
91,2008,GR,,,,,,8.965,471,12.35,250500,33.5,3.18,,10,41,,5.940298507,7.462686567,0.796,51,199,250
87,2008,GR,,,,,,8.386666667,471.3333333,16.3,250666.6667,21,1.643333333,,10,6,,8.761904762,9.523809524,0.92,16,184,200
326,2015,HU,15200,4.181843588,2150,1.919265438,69,8.51,231.6,19.2,150500,17.8,2.045,1.7,11.55,18.2,17.5,10.71629213,12.38764045,0.865079365,29.75,190.75,220.5
325,2015,HU,15200,4.181843588,2150,1.919265438,36,8.29,198.25,19.85,129000,15.1,1.645,1.95,6.55,30.5,19,11.55298013,14.00662252,0.824822695,37.05,174.45,211.5
327,2015,HU,15200,4.181843588,2150,1.919265438,104,8.52,261.3,13.85,169950,17.55,2.905,1.8,20.8,29.45,27.91666667,11.32478632,14.18803419,0.798192771,50.25,198.75,249
355,2016,HU,16800,4.225309282,2150,1.984374362,104,,,,,19.66666667,,1.35,18.825,43.23333333,45.9691358,9.556355932,12.7118644,0.751766667,62.05833333,187.9416667,250
356,2016,HU,16800,4.225309282,2150,1.984374362,126,8.305,254.15,14.45,165100,13.2,2.695,1.2,17.35,63.55,67.41666667,9.590909091,15.71969697,0.610120482,80.9,126.6,207.5
353,2016,HU,16800,4.225309282,2150,1.984374362,73,,,,,9.933333333,,2.15,15.53333333,28.33333333,20.40310077,15.76845637,20.18456376,0.781213633,43.86666666,156.6333333,200.5
168,2010,HU,23100,4.36361198,2150,2.206604536,18,7.47,153.4,18.9,81400,38.6,12.2,14.9,9.2,35.2,2.979865772,5.196891192,6.347150259,0.81877551,44.4,200.6,245
169,2010,HU,23100,4.36361198,2150,2.206604536,39,8.026666667,206.9666667,20.46666667,109933.3333,15.73333333,2.34,5.166666667,10.26666667,5.266666667,3.006451614,9.881355936,10.86864407,0.909161793,15.53333334,155.4666667,171
170,2010,HU,23100,4.36361198,2150,2.206604536,67,8.18,263,21.73333333,139800,20.46666667,3.526666667,4.266666667,9.933333333,43.96666667,12.6328125,9.353420192,11.98697068,0.780298913,53.9,191.4333333,245.3333333
272,2013,HU,25600,4.408239965,2150,2.283497297,71,,,,,15.36,,3.8325,12.97333333,45.42,15.23635573,8.738585072,12.54023438,0.696843839,58.39333333,134.2246667,192.618
274,2013,HU,25600,4.408239965,2150,2.283497297,127,8.36,279.7,14.1,182000,15.71,2.83,3.71,8.38,23.65,8.633423181,12.21833227,14.25716104,0.85699616,32.03,191.95,223.98
273,2013,HU,25600,4.408239965,2150,2.283497297,103,8.365,247.7,17.4,160900,17.855,3.835,3.495,9.95,39.79,14.23175966,12.53598432,15.32175861,0.818181818,49.74,223.83,273.57
522,2021,HU,28200,4.450249108,2150,2.358324428,46,,,,,16.5,,1.45,30,22,35.86206897,6.242424242,9.393939394,0.664516129,52,103,155
524,2021,HU,28200,4.450249108,2150,2.358324428,80,,,,,15,,,20,10,,8,10,0.8,30,120,150
527,2021,HU,28200,4.450249108,2150,2.358324428,125,,,,,13,,2,10,38,24,8.615384615,12.30769231,0.7,48,112,160
525,2021,HU,28200,4.450249108,2150,2.358324428,102,,,,,12,,,20,14.5,,10.04166667,12.91666667,0.777419355,34.5,120.5,155
382,2017,HU,29200,4.465382851,2150,2.385877439,39,,,,,14.46666667,,2.1,11.425,58.9,33.48809524,11.95910138,16.82027649,0.710993151,70.325,173.0083333,243.3333333
383,2017,HU,29200,4.465382851,2150,2.385877439,59,8.2,242.9,19.4,157950,14.35,1.7025,1.7,14.75,56.3,41.79411765,12.92334495,17.87456446,0.723001949,71.05,185.45,256.5
384,2017,HU,29200,4.465382851,2150,2.385877439,89,8.145,275.3,15.05,178750,10.4,2.1265,1.3,13.75,86.65,77.23076923,20.05769231,29.71153846,0.675080906,100.4,208.6,309
300,2014,HU,33400,4.523746467,2150,2.495184529,83,8.083333333,255.9,19.23333333,166400,15.2,1.646666667,4.2,10.9,21.4,7.69047619,9.103070178,11.22807018,0.810742188,32.3,138.3666667,170.6666667
301,2014,HU,33400,4.523746467,2150,2.495184529,115,8.08,306.7,14.3,199600,14.8,2,4.1,12.3,45,13.97560976,12.07432432,15.94594595,0.75720339,57.3,178.7,236
241,2012,HU,33700,4.527629901,2150,2.502632885,57,8.04,119.65,14.4,78000,21.85,4.585,7.645,9.215,18.475,3.621975147,8.245080092,9.512356979,0.866775722,27.69,180.155,207.845
242,2012,HU,33700,4.527629901,2150,2.502632885,82,8.243333333,185.8666667,19.66666667,120900,19.78,1.906666667,3.523333333,11.76333333,23.71,10.06811731,9.004887093,10.79828109,0.833918567,35.47333333,178.1166667,213.59
244,2012,HU,33700,4.527629901,2150,2.502632885,115,,,,,15.3475,,3.2625,9.47,33.655,13.2183908,11.71998697,14.52989086,0.806612182,43.125,179.8725,222.9975
440,2019,HU,34000,4.531478917,2150,2.510037168,55,,,,,27,,14.33333333,23.33333333,29,3.651162791,4.358024693,6.296296296,0.692156863,52.33333333,117.6666667,170
442,2019,HU,34000,4.531478917,2150,2.510037168,118,,,,,21.66666667,,13.33333333,17.5,33,3.787500001,5.515384615,7.846153845,0.702941176,50.5,119.5,170
441,2019,HU,34000,4.531478917,2150,2.510037168,88,8.485,274.9,20.4,178750,14,1.71,15.5,30,42.5,4.677419355,8.392857143,13.57142857,0.618421053,72.5,117.5,190
133,2009,HU,35300,4.547774705,2150,2.541628559,45,8.276666667,202.5666667,19.76666667,107666.6667,19.65,3.64,6.083333333,7.39,20.2,4.535342466,8.36692112,9.770992366,0.856302083,27.59,164.41,192
134,2009,HU,35300,4.547774705,2150,2.541628559,75,8.473333333,257,19.36666667,136633.3333,16.75333333,3.116666667,5.17,10.92666667,48.61333333,11.51644101,12.18424195,15.73816157,0.774184577,59.54,204.1266667,263.6666667
92,2008,HU,35500,4.550228353,2150,2.546419576,29,8.06,134.05,14.3,71100,48.5,17,,10,34.5,,4.237113402,5.154639175,0.822,44.5,205.5,250
94,2008,HU,35500,4.550228353,2150,2.546419576,57,8.483333333,177.4666667,19.86666667,117833.3333,19.66666667,,,15,16.33333333,,8.576271187,10.16949152,0.843333333,31.33333333,168.6666667,200
95,2008,HU,35500,4.550228353,2150,2.546419576,92,8.493333333,243.3333333,17.7,129000,15.25,2.423333333,,15,78.5,,6.983606557,13.1147541,0.5325,93.5,106.5,200
476,2020,HU,37300,4.571708832,2150,2.588750072,81,,,,,12.5,,4,9,23,8,9.84,12.4,0.793548387,32,123,155
479,2020,HU,37300,4.571708832,2150,2.588750072,117,,,,,10.66666667,,5.333333333,20,47.33333333,12.625,10.25,16.5625,0.618867925,67.33333333,109.3333334,176.6666667
203,2011,HU,46600,4.668385917,2150,2.788147973,42,8.07,148.6333333,15.93333333,96633.33333,29.3,7.533333333,9.733333333,8.85,23.26666667,3.299657535,4.751422068,5.847554038,0.812548638,32.11666667,139.2166666,171.3333333
205,2011,HU,46600,4.668385917,2150,2.788147973,72,,,,,21.825,,7.075,12.725,46.575,8.381625442,6.611454754,9.328522337,0.70873548,59.3,144.295,203.595
206,2011,HU,46600,4.668385917,2150,2.788147973,101,8.4,241.1,14.05,156650,14.25,1.85,4.95,11.05,36,9.505050505,11.78596491,15.0877193,0.781162791,47.05,167.95,215
410,2018,HU,51200,4.709269961,2150,2.877026311,65,,,,,19.1,,3.45,9.7,6.25,4.623188406,7.751308901,8.586387435,0.902743902,15.95,148.05,164
412,2018,HU,51200,4.709269961,2150,2.877026311,93,8.165,255.6,17.3,166100,17.1,2.145,1.8,15.8,58.45,41.25,9.371345029,13.71345029,0.68336887,74.25,160.25,234.5
414,2018,HU,51200,4.709269961,2150,2.877026311,126,,,,,12.45,,1.7,16.63333333,33.2,29.31372549,13.50736279,17.51004016,0.771406728,49.83333333,168.1666667,218
328,2015,MS,7010,3.845718018,2580,1.395402309,31,,,,,10.9,,1.6,10.475,1.7,7.609375,14.632263,15.74923548,0.92907767,12.175,159.4916667,171.6666667
331,2015,MS,7010,3.845718018,2580,1.395402309,70,7.985,286,16.5,185900,15.7,3.005,1.8,17.25,2.6,11.02777778,15.61464968,16.87898089,0.92509434,19.85,245.15,265
359,2016,MS,7660,3.88422877,2580,1.437263361,99,8.245,264.65,16.05,171900,50.7,45.635,1.25,19.8,10.95,24.6,5.724852071,6.331360947,0.904205607,30.75,290.25,321
360,2016,MS,7660,3.88422877,2580,1.437263361,127,8.5,291.65,12.15,189800,13.2,3.295,1.1,18.9,1.75,18.77272727,8.965909091,10.53030303,0.851438849,20.65,118.35,139
173,2010,MS,10100,4.004321374,2580,1.576039952,5,7.14,199.2,14.9,105700,61.85,17.9,18.2,23.85,31.5,3.041208791,3.939369442,4.834276475,0.814882943,55.35,243.65,299
177,2010,MS,10100,4.004321374,2580,1.576039952,26,7.52,247,17.4,131400,19.46666667,2.816666667,10,9.35,4.9,1.425,7.692636985,8.424657533,0.913109756,14.25,149.75,164
175,2010,MS,10100,4.004321374,2580,1.576039952,55,,,,,17.6,,6.566666667,9.933333333,3.533333333,2.050761422,9.973484847,10.73863636,0.928747795,13.46666667,175.5333333,189
176,2010,MS,10100,4.004321374,2580,1.576039952,82,7.723333333,304,13.26666667,162333.3333,12.1,2.28,3.833333333,6.05,2.466666667,2.221739131,12.65702479,13.36088155,0.947319588,8.516666667,153.15,161.6666667
565,2022,MS,11800,4.071882007,2580,1.659921055,41,8.315,251.45,20.5,,42,5.92,19.5,30,21,2.615384615,1.761904762,2.976190476,0.592,51,74,125
566,2022,MS,11800,4.071882007,2580,1.659921055,67,,,,,12.33333333,,2,16.66666667,3,9.833333335,8.675675678,10.27027028,0.844736842,19.66666667,107,126.6666667
276,2013,MS,12300,4.089905111,2580,1.683042703,92,8.205,275.75,16.4,179450,11.65,2.225,3.33,12.99,2.025,4.509009009,12.01630901,13.30515021,0.903132157,15.015,139.99,155.005
275,2013,MS,12300,4.089905111,2580,1.683042703,64,8.22,252,17.8,163750,9.13,3.1,3.57,15.095,2.21,4.847338936,15.98685652,17.8822563,0.894006676,17.305,145.96,163.265
385,2017,MS,14700,4.167317335,2580,1.786073018,31,,,,,15.15,,4.2,14.9,2,4.023809524,10.03960396,11.15511551,0.9,16.9,152.1,169
387,2017,MS,14700,4.167317335,2580,1.786073018,90,8.32,306.15,12.4,198900,14,2.64,1.9,9.6,3.95,7.131578947,14.06785714,15.03571429,0.935629454,13.55,196.95,210.5
388,2017,MS,14700,4.167317335,2580,1.786073018,62,8.455,267.3,16.75,173850,10.85,1.62,2,11.6,2.05,6.825,15.33179724,16.58986175,0.924166667,13.65,166.35,180
446,2019,MS,16200,4.209515015,2580,1.844867171,121,8.285,329.35,13.45,214175,46.5,12.11,17,15,16,1.823529412,3.096774194,3.76344086,0.822857143,31,144,175
444,2019,MS,16200,4.209515015,2580,1.844867171,52,8.58,277.3,17.4,180375,29.5,5.13,24.5,15,5,0.816326531,3.559322034,4.237288136,0.84,20,105,125
97,2008,MS,16800,4.225309282,2580,1.867367769,25,,,,,67,,,23.33333333,35.66666667,,4.094527363,4.975124378,0.823,59,274.3333333,333.3333333
99,2008,MS,16800,4.225309282,2580,1.867367769,56,8.476666667,230.6666667,17.33333333,122633.3333,24.33333333,4.603333333,,20,5.666666667,,7.164383561,8.219178083,0.871666667,25.66666667,174.3333333,200
100,2008,MS,16800,4.225309282,2580,1.867367769,91,8.273333333,276,16.2,146300,9.666666667,1.636666667,,15,8.333333333,,11.37931034,13.79310344,0.825,23.33333333,110,133.3333333
302,2014,MS,17100,4.23299611,2580,1.87841754,39,,,,,22.43333333,,9.066666667,8,3.766666667,1.297794118,5.805349182,6.329866271,0.91713615,11.76666667,130.2333333,142
304,2014,MS,17100,4.23299611,2580,1.87841754,106,7.74,338.45,13.4,220050,15.7,2.595,5.3,10.8,1.85,2.386792453,11.26433121,12.07006369,0.933245383,12.65,176.85,189.5
303,2014,MS,17100,4.23299611,2580,1.87841754,78,7.91,301.15,17.4,195950,11.55,1.55,4.3,12.65,1.9,3.38372093,11.85714286,13.11688312,0.903960396,14.55,136.95,151.5
143,2009,MS,17300,4.238046103,2580,1.885712438,50,7.8,244.6666667,16.23333333,130033.3333,23.02333333,5.023333333,10.04666667,10.79,3.943333333,1.466489714,8.017952803,8.657883307,0.926086957,14.73333333,184.6,199.3333333
142,2009,MS,17300,4.238046103,2580,1.885712438,106,7.853333333,301.6666667,15.66666667,160066.6667,10.66333333,1.793333333,3.465,10.395,3.896,4.124386724,13.82078775,15.16098782,0.911602062,14.291,147.3756667,161.6666667
249,2012,MS,17600,4.245512668,2580,1.896550104,55,,,,,23.98333333,,9.536666667,12.90666667,5.853333333,1.967144355,7.75218902,8.534398888,0.908346226,18.76,185.9233333,204.6833333
251,2012,MS,17600,4.245512668,2580,1.896550104,112,,,,,12.74,,3.756666667,9.133333333,3.61,3.392191658,11.95709053,12.95735217,0.922803546,12.74333333,152.3333334,165.0766667
247,2012,MS,17600,4.245512668,2580,1.896550104,81,8.176666667,231.4,17.23333333,150566.6667,11.03666667,1.49,3.47,12.16,2.71,4.285302594,12.19722138,13.54454847,0.900526245,14.87,134.6166667,149.4866667
250,2012,MS,17600,4.245512668,2580,1.896550104,133,8.345,280.9,11.75,182650,8.9,1.415,1.72,7.03,2.2,5.36627907,16.8994382,17.93651685,0.942180599,9.23,150.405,159.635
485,2020,MS,20000,4.301029996,2580,1.979110744,118,,,,,12,,5.666666667,20,3,4.058823529,8.5,10.41666667,0.816,23,102,125
484,2020,MS,20000,4.301029996,2580,1.979110744,83,,,,,16,,4.5,7,3,2.222222222,11.875,12.5,0.95,10,190,200
210,2011,MS,28100,4.44870632,2580,2.216641899,39,8.256666667,205.8666667,15.5,134300,33.5,7.886666667,11.7,11.75,11.33333333,1.972934473,4.833333334,5.52238806,0.875225225,23.08333333,161.9166667,185
212,2011,MS,28100,4.44870632,2580,2.216641899,69,,,,,18.1,,10.96666667,9.533333333,4.64,1.292401215,6.417679558,7.200736646,0.891253197,14.17333333,116.16,130.3333333
207,2011,MS,28100,4.44870632,2580,2.216641899,99,8.36,277,12.1,180000,13.5,2.06,6.8,8.8,2.9,1.720588235,9.948148148,10.81481481,0.919863014,11.7,134.3,146
415,2018,MS,31500,4.498310554,2580,2.30266247,63,,,,,29.06666667,,7.675,22,3.175,3.280130293,5.085722476,5.951834862,0.854479769,25.175,147.825,173
417,2018,MS,31500,4.498310554,2580,2.30266247,93,8.375,283.15,17.05,183950,15.45,1.505,3.3,11.8,3.9,4.757575758,7.948220065,8.964401294,0.886642599,15.7,122.8,138.5
418,2018,MS,31500,4.498310554,2580,2.30266247,123,8.465,309.7,14.4,201200,12.35,2.65,1.4,22.55,41.8,45.96428571,7.218623482,12.4291498,0.580781759,64.35,89.15,153.5
