,date_yearmon,Site.OLD,Site,ActivityStartDate,Day,Month,Year,Ammonia,Kjeldahl nitrogen,Nitrate + Nitrite,Orthophosphate,pH,Specific conductance,"Temperature, water",Total dissolved solids,"Total Nitrogen, mixed forms","Total Phosphorus, mixed forms",Turbidity
234,Jul-16,Clark Fork River at Deer Lodge,DL,7/13/2016,13,7,2016,12,,38.7,3.6,8.285,400.2,16.05,260300,294.5,19.4,1.9
588,Aug-16,Clark Fork River at Deer Lodge,DL,8/17/2016,17,8,2016,,,,2.3,8.21,436.45,12.85,283700,,12.5,1.13
235,Aug-16,Clark Fork River at Deer Lodge,DL,8/19/2016,19,8,2016,18.03333333,,254.8,,,,,,421.5,,
236,Sep-16,Clark Fork River at Deer Lodge,DL,9/14/2016,14,9,2016,20.8,,183.6,2.55,8.205,476.95,11,309750,425.5,16.2,2.24
237,Jul-17,Clark Fork River at Deer Lodge,DL,7/17/2017,17,7,2017,12.75,,27.25,8.1,8.22,363.45,18.6,236250,259.5,24,2.29
674,Aug-17,Clark Fork River at Deer Lodge,DL,8/15/2017,15,8,2017,,,,,8.135,421.5,16,274000,,,1.3
238,Aug-17,Clark Fork River at Deer Lodge,DL,8/18/2017,18,8,2017,13.93333333,,240.7333333,3.8,,,,,530.6666667,16.86666667,
239,Sep-17,Clark Fork River at Deer Lodge,DL,9/12/2017,12,9,2017,10.1,,212.65,3.4,8.185,471.1,10.65,306150,513,17.85,2.2
240,Jul-18,Clark Fork River at Deer Lodge,DL,7/17/2018,17,7,2018,11.05,,47.05,15.45,8.17,300.5,17.5,195300,305,44.6,4.625
241,Aug-18,Clark Fork River at Deer Lodge,DL,8/12/2018,12,8,2018,19.85,,100.2,8.75,8.175,411.55,14,267500,348,30.4,2.895
242,Sep-18,Clark Fork River at Deer Lodge,DL,9/7/2018,7,9,2018,14.63333333,,130,4.65,,,,,394,27.63333333,
675,Sep-18,Clark Fork River at Deer Lodge,DL,9/11/2018,11,9,2018,,,,,8.16,441.9,11.45,287350,,,2.74
243,Jul-19,Clark Fork River at Deer Lodge,DL,7/9/2019,9,7,2019,25,,29.5,25.5,8.85,345.4,18.05,224575,235,34,3.23
244,Aug-19,Clark Fork River at Deer Lodge,DL,8/13/2019,13,8,2019,30,,142.5,28.5,8.495,437.3,19.65,284375,345,25.5,2.92
245,Sep-19,Clark Fork River at Deer Lodge,DL,9/16/2019,16,9,2019,20,,108,19.5,8.205,462.55,13.75,300625,350,87.5,16.985
246,Jul-20,Clark Fork River at Deer Lodge,DL,7/22/2020,22,7,2020,,,16,6,,,,,170,23,
676,Jul-20,Clark Fork River at Deer Lodge,DL,7/22/2020,22,7,2020,,,,,8.47,364.05,19.1,,,,3.44
247,Aug-20,Clark Fork River at Deer Lodge,DL,8/15/2020,15,8,2020,,,77,7,,,,,295,17,
677,Aug-20,Clark Fork River at Deer Lodge,DL,8/17/2020,17,8,2020,,,,,8.115,444.65,16.6,,,,2.425
678,Sep-20,Clark Fork River at Deer Lodge,DL,9/13/2020,13,9,2020,,,,,8.14,485.4,12.75,,,,1.305
248,Sep-20,Clark Fork River at Deer Lodge,DL,9/16/2020,16,9,2020,20,,89.66666667,8.333333333,,,,,253.3333333,13,
679,Jul-21,Clark Fork River at Deer Lodge,DL,7/14/2021,14,7,2021,,,,,8.44,453.15,19.35,,,,2.77
249,Jul-21,Clark Fork River at Deer Lodge,DL,7/22/2021,22,7,2021,30,,114,2,,,,,335,21,
680,Aug-21,Clark Fork River at Deer Lodge,DL,8/22/2021,22,8,2021,,,,,8.43,514.05,16.8,,,,3.03
250,Aug-21,Clark Fork River at Deer Lodge,DL,8/24/2021,24,8,2021,30,,93,,,,,,330,17,
251,Sep-21,Clark Fork River at Deer Lodge,DL,9/15/2021,15,9,2021,20,,119,,,,,,310,12,
681,Sep-21,Clark Fork River at Deer Lodge,DL,9/23/2021,23,9,2021,,,,,8.19,532.6,9.65,,,,2.98
252,Oct-21,Clark Fork River at Deer Lodge,DL,10/8/2021,8,10,2021,10,,232,1,,,,,400,13,
589,Jul-22,Clark Fork River at Deer Lodge,DL,7/13/2022,13,7,2022,,,,2,,,,,,45,
253,Jul-22,Clark Fork River at Deer Lodge,DL,7/22/2022,22,7,2022,30,,13.5,,8.41,430.6,20.5,,,,2.57
724,Jul-22,Clark Fork River at Deer Lodge,DL,7/25/2022,25,7,2022,,,,,,,,,213.3333333,,
254,Aug-22,Clark Fork River at Deer Lodge,DL,8/19/2022,19,8,2022,15,,114.5,1.9,8.37,490.05,19.45,,300,12,1.345
255,Sep-22,Clark Fork River at Deer Lodge,DL,9/20/2022,20,9,2022,,,149.5,0.9,8.28,537.3,14.1,,395,8,1.94
256,Jun-08,Clark Fork River at Huson,HU,6/19/2008,19,6,2008,10,250,34.5,,8.06,134.05,14.3,71100,,48.5,17
728,Jul-08,Clark Fork River at Huson,HU,7/13/2008,13,7,2008,,,,,,,,,,,5.72
257,Jul-08,Clark Fork River at Huson,HU,7/17/2008,17,7,2008,15,200,16.33333333,,8.483333333,177.4666667,19.86666667,117833.3333,,19.66666667,
258,Aug-08,Clark Fork River at Huson,HU,8/21/2008,21,8,2008,15,200,78.5,,8.493333333,243.3333333,17.7,129000,,15.25,2.423333333
259,Sep-08,Clark Fork River at Huson,HU,9/18/2008,18,9,2008,,200,30.5,,8.73,259,13.95,137650,,15,2.205
260,Jun-09,Clark Fork River at Huson,HU,6/25/2009,25,6,2009,,,26.83,10.49,8.04,154.1,18.1,81700,,26.25,6.99
261,Jul-09,Clark Fork River at Huson,HU,7/16/2009,16,7,2009,7.39,,20.2,6.083333333,8.276666667,202.5666667,19.76666667,107666.6667,192,19.65,3.64
262,Aug-09,Clark Fork River at Huson,HU,8/15/2009,15,8,2009,10.92666667,,48.61333333,5.17,8.473333333,257,19.36666667,136633.3333,263.6666667,16.75333333,3.116666667
590,Sep-09,Clark Fork River at Huson,HU,9/6/2009,6,9,2009,,,,2.97,,,,,,,
263,Sep-09,Clark Fork River at Huson,HU,9/7/2009,7,9,2009,10.73,,15.222,,,,,,,,
725,Sep-09,Clark Fork River at Huson,HU,9/8/2009,8,9,2009,,,,,,,,,226.5,13.0675,
682,Sep-09,Clark Fork River at Huson,HU,9/10/2009,10,9,2009,,,,,8.393333333,266.3333333,18.9,141566.6667,,,2.296666667
264,Jun-10,Clark Fork River at Huson,HU,6/24/2010,24,6,2010,9.2,,35.2,14.9,7.47,153.4,18.9,81400,245,38.6,12.2
265,Jul-10,Clark Fork River at Huson,HU,7/15/2010,15,7,2010,10.26666667,,5.266666667,5.166666667,8.026666667,206.9666667,20.46666667,109933.3333,171,15.73333333,2.34
266,Aug-10,Clark Fork River at Huson,HU,8/12/2010,12,8,2010,9.933333333,,43.96666667,4.266666667,8.18,263,21.73333333,139800,245.3333333,20.46666667,3.526666667
267,Sep-10,Clark Fork River at Huson,HU,9/6/2010,6,9,2010,,,27.25,3.025,,,,,220.25,14.425,
683,Sep-10,Clark Fork River at Huson,HU,9/9/2010,9,9,2010,,,,,8.38,268,14.63333333,143033.3333,,,3.753333333
268,Jun-11,Clark Fork River at Huson,HU,6/26/2011,26,6,2011,17.7,,19.1,13.95,7.815,152.3,13.3,98750,,73.1,37
269,Jul-11,Clark Fork River at Huson,HU,7/21/2011,21,7,2011,8.85,,23.26666667,9.733333333,8.07,148.6333333,15.93333333,96633.33333,171.3333333,29.3,7.533333333
684,Aug-11,Clark Fork River at Huson,HU,8/18/2011,18,8,2011,,,,,8.323333333,219.2666667,17.86666667,142566.6667,,,2.17
270,Aug-11,Clark Fork River at Huson,HU,8/20/2011,20,8,2011,12.725,,46.575,7.075,,,,,203.595,21.825,
271,Sep-11,Clark Fork River at Huson,HU,9/18/2011,18,9,2011,11.05,,36,4.95,8.4,241.1,14.05,156650,215,14.25,1.85
272,Jun-12,Clark Fork River at Huson,HU,6/24/2012,24,6,2012,9.215,,18.475,7.645,8.04,119.65,14.4,78000,207.845,21.85,4.585
273,Jul-12,Clark Fork River at Huson,HU,7/19/2012,19,7,2012,11.76333333,,23.71,3.523333333,8.243333333,185.8666667,19.66666667,120900,213.59,19.78,1.906666667
685,Aug-12,Clark Fork River at Huson,HU,8/18/2012,18,8,2012,,,,,8.376666667,229.3666667,18,149066.6667,,,2.163333333
274,Aug-12,Clark Fork River at Huson,HU,8/21/2012,21,8,2012,9.47,,33.655,3.2625,,,,,222.9975,15.3475,
275,Sep-12,Clark Fork River at Huson,HU,9/9/2012,9,9,2012,,,44.07,1.69,8.42,230.1,14.7,149550,217.97,14.515,2.235
686,Jul-13,Clark Fork River at Huson,HU,7/22/2013,22,7,2013,,,,,8.34,242.2333333,19.83333333,157566.6667,,,2.766666667
276,Jul-13,Clark Fork River at Huson,HU,7/25/2013,25,7,2013,12.97333333,,45.42,3.8325,,,,,192.618,15.36,
277,Aug-13,Clark Fork River at Huson,HU,8/26/2013,26,8,2013,9.95,,39.79,3.495,8.365,247.7,17.4,160900,273.57,17.855,3.835
278,Sep-13,Clark Fork River at Huson,HU,9/19/2013,19,9,2013,8.38,,23.65,3.71,8.36,279.7,14.1,182000,223.98,15.71,2.83
279,Jul-14,Clark Fork River at Huson,HU,7/10/2014,10,7,2014,,,17.1,7.4,7.805,157.4,17.95,102400,163.5,17.4,3.695
280,Aug-14,Clark Fork River at Huson,HU,8/17/2014,17,8,2014,10.9,,21.4,4.2,8.083333333,255.9,19.23333333,166400,170.6666667,15.2,1.646666667
281,Sep-14,Clark Fork River at Huson,HU,9/18/2014,18,9,2014,12.3,,45,4.1,8.08,306.7,14.3,199600,236,14.8,2
282,Jul-15,Clark Fork River at Huson,HU,7/9/2015,9,7,2015,6.55,,30.5,1.95,8.29,198.25,19.85,129000,211.5,15.1,1.645
283,Aug-15,Clark Fork River at Huson,HU,8/11/2015,11,8,2015,11.55,,18.2,1.7,8.51,231.6,19.2,150500,220.5,17.8,2.045
284,Sep-15,Clark Fork River at Huson,HU,9/15/2015,15,9,2015,20.8,,29.45,1.8,8.52,261.3,13.85,169950,249,17.55,2.905
687,Jul-16,Clark Fork River at Huson,HU,7/18/2016,18,7,2016,,,,,8.355,209.4,19.65,136150,,,1.37
285,Jul-16,Clark Fork River at Huson,HU,7/21/2016,21,7,2016,15.53333333,,28.33333333,2.15,,,,,200.5,9.933333333,
688,Aug-16,Clark Fork River at Huson,HU,8/18/2016,18,8,2016,,,,,8.225,237.9,15.15,154700,,,4.615
286,Aug-16,Clark Fork River at Huson,HU,8/21/2016,21,8,2016,18.825,,43.23333333,1.35,,,,,250,19.66666667,
287,Sep-16,Clark Fork River at Huson,HU,9/12/2016,12,9,2016,17.35,,63.55,1.2,8.305,254.15,14.45,165100,207.5,13.2,2.695
689,Jul-17,Clark Fork River at Huson,HU,7/19/2017,19,7,2017,,,,,7.99,220.95,19.45,143300,,,2.405
288,Jul-17,Clark Fork River at Huson,HU,7/23/2017,23,7,2017,11.425,,58.9,2.1,,,,,243.3333333,14.46666667,
289,Aug-17,Clark Fork River at Huson,HU,8/12/2017,12,8,2017,14.75,,56.3,1.7,8.2,242.9,19.4,157950,256.5,14.35,1.7025
290,Sep-17,Clark Fork River at Huson,HU,9/11/2017,11,9,2017,13.75,,86.65,1.3,8.145,275.3,15.05,178750,309,10.4,2.1265
291,Jul-18,Clark Fork River at Huson,HU,7/15/2018,15,7,2018,9.7,,6.25,3.45,,,,,164,19.1,
690,Jul-18,Clark Fork River at Huson,HU,7/18/2018,18,7,2018,,,,,7.97,218.4,18.35,142000,,,4.1
292,Aug-18,Clark Fork River at Huson,HU,8/12/2018,12,8,2018,15.8,,58.45,1.8,8.165,255.6,17.3,166100,234.5,17.1,2.145
691,Sep-18,Clark Fork River at Huson,HU,9/12/2018,12,9,2018,,,,,8.24,277,14.35,180100,,,1.92
293,Sep-18,Clark Fork River at Huson,HU,9/14/2018,14,9,2018,16.63333333,,33.2,1.7,,,,,218,12.45,
692,Jul-19,Clark Fork River at Huson,HU,7/10/2019,10,7,2019,,,,,8.36,223,17.35,145275,,,3.095
294,Jul-19,Clark Fork River at Huson,HU,7/12/2019,12,7,2019,23.33333333,,29,14.33333333,,,,,170,27,
295,Aug-19,Clark Fork River at Huson,HU,8/14/2019,14,8,2019,30,,42.5,15.5,8.485,274.9,20.4,178750,190,14,1.71
296,Sep-19,Clark Fork River at Huson,HU,9/13/2019,13,9,2019,17.5,,33,13.33333333,,,,,170,21.66666667,
693,Sep-19,Clark Fork River at Huson,HU,9/17/2019,17,9,2019,,,,,8.355,287.45,14.35,186875,,,4.985
297,Jul-20,Clark Fork River at Huson,HU,7/22/2020,22,7,2020,,,5,4,8.25,209.45,19.25,,120,15,5.325
298,Aug-20,Clark Fork River at Huson,HU,8/11/2020,11,8,2020,9,,23,4,,,,,155,12.5,
694,Aug-20,Clark Fork River at Huson,HU,8/18/2020,18,8,2020,,,,,8.075,266.35,18.6,,,,1.995
695,Sep-20,Clark Fork River at Huson,HU,9/14/2020,14,9,2020,,,,,8.135,290.8,14.7,,,,2.825
299,Sep-20,Clark Fork River at Huson,HU,9/16/2020,16,9,2020,20,,47.33333333,5.333333333,,,,,176.6666667,10.66666667,
696,Jul-21,Clark Fork River at Huson,HU,7/13/2021,13,7,2021,,,,,8.28,243.3,19.7,,,,1.925
300,Jul-21,Clark Fork River at Huson,HU,7/21/2021,21,7,2021,30,,22,1.45,,,,,155,16.5,
697,Aug-21,Clark Fork River at Huson,HU,8/23/2021,23,8,2021,,,,,8.08,274.95,17.2,,,,3.945
301,Aug-21,Clark Fork River at Huson,HU,8/24/2021,24,8,2021,20,,10,,,,,,150,15,
302,Sep-21,Clark Fork River at Huson,HU,9/15/2021,15,9,2021,20,,14.5,,,,,,155,12,
698,Sep-21,Clark Fork River at Huson,HU,9/22/2021,22,9,2021,,,,,7.895,300.7,12.25,,,,2.11
303,Oct-21,Clark Fork River at Huson,HU,10/8/2021,8,10,2021,10,,38,2,,,,,160,13,
304,Jul-22,Clark Fork River at Huson,HU,7/15/2022,15,7,2022,,,8,2,7.91,178.1,19.2,,120,17,4.75
726,Aug-22,Clark Fork River at Huson,HU,8/11/2022,11,8,2022,,,,,,,,,200,,
305,Aug-22,Clark Fork River at Huson,HU,8/15/2022,15,8,2022,20,,37.33333333,,7.936666667,251.1666667,18.7,,,32.33333333,3.803333333
591,Aug-22,Clark Fork River at Huson,HU,8/22/2022,22,8,2022,,,,1.5,,,,,,,
306,Sep-22,Clark Fork River at Huson,HU,9/23/2022,23,9,2022,,,7.5,1.4,8.24,279.9,15.65,,200,11.5,2.265
307,Jun-08,Clark Fork River below Missoula,BM,6/19/2008,19,6,2008,25,300,37.5,,8.435,174.65,12,92350,,57,19.35
308,Jul-08,Clark Fork River below Missoula,BM,7/17/2008,17,7,2008,26.66666667,200,22.33333333,,8.52,233,16.8,123833.3333,,24,5.2
309,Aug-08,Clark Fork River below Missoula,BM,8/21/2008,21,8,2008,40,,42.33333333,,8.443333333,265.6666667,15.86666667,145466.6667,,13.33333333,2.593333333
584,Aug-08,Clark Fork River below Missoula,BM,8/24/2008,24,8,2008,,200,,,,,,,,,
699,Sep-08,Clark Fork River below Missoula,BM,9/18/2008,18,9,2008,,,,,8.655,304.5,11.25,161750,,,3.385
310,Sep-08,Clark Fork River below Missoula,BM,9/20/2008,20,9,2008,16.66666667,200,46,,,,,,,19,
311,Jun-09,Clark Fork River below Missoula,BM,6/25/2009,25,6,2009,3.89,,17.97,12.73,8.2,201,16,107000,,31.81,7.51
312,Jul-09,Clark Fork River below Missoula,BM,7/16/2009,16,7,2009,5.866666667,,20.81666667,9.56,8.223333333,242.3333333,16.16666667,128666.6667,192.6666667,19.04666667,4.246666667
313,Aug-09,Clark Fork River below Missoula,BM,8/15/2009,15,8,2009,8.28,,44.78,5.31,8.386666667,277.3333333,17.2,146966.6667,228.3333333,19.83333333,3.52
314,Sep-09,Clark Fork River below Missoula,BM,9/10/2009,10,9,2009,14.858,,41.462,12.128,8.306666667,307,15.6,162766.6667,247.75,27.225,2.133333333
315,Jun-10,Clark Fork River below Missoula,BM,6/24/2010,24,6,2010,15.9,,41.6,17,7.59,193,16.5,102500,288,55.2,17.4
316,Jul-10,Clark Fork River below Missoula,BM,7/15/2010,15,7,2010,8.566666667,,23.1,8.933333333,7.793333333,235.3333333,17.83333333,125200,187,19.56666667,3.443333333
317,Aug-10,Clark Fork River below Missoula,BM,8/12/2010,12,8,2010,9.933333333,,46.46666667,6.233333333,7.993333333,277,18.43333333,147266.6667,233,19.66666667,2.81
318,Sep-10,Clark Fork River below Missoula,BM,9/9/2010,9,9,2010,31.925,,59.25,6.85,8.236666667,303.6666667,13.06666667,161333.3333,264.75,19.65,3.986666667
319,Jun-11,Clark Fork River below Missoula,BM,6/26/2011,26,6,2011,15.8,,26.2,16.25,8.04,136.6,12.6,88750,,102.25,44.2
320,Jul-11,Clark Fork River below Missoula,BM,7/21/2011,21,7,2011,11.66666667,,22.46666667,12.26666667,8.3,203.3,14.5,132200,185.6666667,33.56666667,7.766666667
321,Aug-11,Clark Fork River below Missoula,BM,8/18/2011,18,8,2011,24.56666667,,30.76666667,10.46666667,8.396666667,239.2666667,16.1,155533.3333,171.6666667,20.93333333,2.1
322,Sep-11,Clark Fork River below Missoula,BM,9/16/2011,16,9,2011,7.2,,49.6,6.6,,,,,201.6666667,13.03333333,
700,Sep-11,Clark Fork River below Missoula,BM,9/18/2011,18,9,2011,,,,,8.395,276.55,12.35,179700,,,2.08
323,Jun-12,Clark Fork River below Missoula,BM,6/24/2012,24,6,2012,6.495,,17.485,8.66,8.225,163,12.7,106000,186.28,21.235,4.82
324,Jul-12,Clark Fork River below Missoula,BM,7/19/2012,19,7,2012,21.08,,20.94333333,6.78,8.263333333,231.1333333,17.96666667,150133.3333,246.2366667,17.64,1.84
325,Aug-12,Clark Fork River below Missoula,BM,8/18/2012,18,8,2012,10.26,,35.91666667,5,,,,,215.63,15.75,
701,Aug-12,Clark Fork River below Missoula,BM,8/18/2012,18,8,2012,,,,,8.25,246.5,16.13333333,160100,,,2.576666667
326,Sep-12,Clark Fork River below Missoula,BM,9/8/2012,8,9,2012,6.965,,41.55666667,2.033333333,,,,,198.46,12.23666667,
702,Sep-12,Clark Fork River below Missoula,BM,9/9/2012,9,9,2012,,,,,8.29,255.05,12.45,165750,,,1.825
327,Jul-13,Clark Fork River below Missoula,BM,7/18/2013,18,7,2013,13.79,,22.955,3.34,8.345,246.9,18.95,160550,216.07,12.82,2.07
328,Aug-13,Clark Fork River below Missoula,BM,8/15/2013,15,8,2013,13.555,,31.145,3.685,8.36,271,17.4,176100,271.875,13.125,2.91
703,Sep-13,Clark Fork River below Missoula,BM,9/12/2013,12,9,2013,,,,,8.415,293.2,15.25,190450,,,2.515
329,Sep-13,Clark Fork River below Missoula,BM,9/15/2013,15,9,2013,13.63333333,,42.33,7.416666667,,,,,226.8966667,17.63,
330,Jul-14,Clark Fork River below Missoula,BM,7/10/2014,10,7,2014,,,9.3,8.25,8.13,228.75,16.95,148850,145,20.25,3.79
331,Aug-14,Clark Fork River below Missoula,BM,8/14/2014,14,8,2014,10.65,,21.65,5.25,8.17,281.85,17.45,182950,159,14.35,1.995
332,Sep-14,Clark Fork River below Missoula,BM,9/11/2014,11,9,2014,12.95,,27.15,8.5,8.085,336,13.3,218400,221,19.25,2.675
333,Jul-15,Clark Fork River below Missoula,BM,7/9/2015,9,7,2015,7.5,,11.45,2.3,8.395,222.05,18.9,144300,206.5,13.2,1.465
334,Aug-15,Clark Fork River below Missoula,BM,8/13/2015,13,8,2015,12.1,,21.55,2.1,8.345,281.5,16.3,182950,227.5,19.25,2.9
335,Sep-15,Clark Fork River below Missoula,BM,9/17/2015,17,9,2015,11,,20.65,2.8,8.435,300.85,13.5,195600,251,20.65,4.76
704,Jul-16,Clark Fork River below Missoula,BM,7/14/2016,14,7,2016,,,,,8.34,244.85,16.75,159250,,,1.63
336,Jul-16,Clark Fork River below Missoula,BM,7/16/2016,16,7,2016,7.9,,11.3,1.666666667,,,,,163.5,13.85,
337,Aug-16,Clark Fork River below Missoula,BM,8/18/2016,18,8,2016,9,,31.75,2.4,8.315,261.45,14.75,169950,268.5,23.2,6.54
338,Sep-16,Clark Fork River below Missoula,BM,9/15/2016,15,9,2016,16.85,,31.25,1.7,8.27,290.4,12.1,188800,210,21.85,5.39
339,Jul-17,Clark Fork River below Missoula,BM,7/15/2017,15,7,2017,10.675,,10.76666667,4.266666667,,,,,153.6666667,15.93333333,
705,Jul-17,Clark Fork River below Missoula,BM,7/19/2017,19,7,2017,,,,,8.085,249.05,17.5,161800,,,2.265
340,Aug-17,Clark Fork River below Missoula,BM,8/16/2017,16,8,2017,12.55,,31.8,3.9,8.185,273,16.5,177450,196,15.6,1.785
341,Sep-17,Clark Fork River below Missoula,BM,9/13/2017,13,9,2017,9.1,,28.1,4.1,8.09,303.2,12.15,197000,228.5,16.95,3.085
342,Jul-18,Clark Fork River below Missoula,BM,7/16/2018,16,7,2018,41.4,,14.3,8.7,8.17,252.9,17.7,164400,180,24.4,3.2
343,Aug-18,Clark Fork River below Missoula,BM,8/15/2018,15,8,2018,20.5,,28.65,4.85,8.335,285.65,15.8,185600,180.5,17.45,2.31
706,Sep-18,Clark Fork River below Missoula,BM,9/13/2018,13,9,2018,,,,,8.24,310.6,14.15,201850,,,1.89
344,Sep-18,Clark Fork River below Missoula,BM,9/15/2018,15,9,2018,20.46666667,,38.23333333,2.266666667,,,,,221.3333333,14.46666667,
707,Jul-19,Clark Fork River below Missoula,BM,7/10/2019,10,7,2019,,,,,8.485,272,16.3,177130,,,4.385
345,Jul-19,Clark Fork River below Missoula,BM,7/12/2019,12,7,2019,20,,19.66666667,29.66666667,,,,,136.6666667,33.33333333,
346,Aug-19,Clark Fork River below Missoula,BM,8/14/2019,14,8,2019,30,,44.5,13.5,8.685,299.05,18.55,194350,170,14,2.9
347,Sep-19,Clark Fork River below Missoula,BM,9/16/2019,16,9,2019,15,,33.5,16.5,8.275,323.65,13.6,211100,190,46,9.695
708,Jul-20,Clark Fork River below Missoula,BM,7/21/2020,21,7,2020,,,,,8.255,253.3,18.55,,,,4.19
348,Jul-20,Clark Fork River below Missoula,BM,7/22/2020,22,7,2020,,,9,5,,,,,130,16,
349,Aug-20,Clark Fork River below Missoula,BM,8/12/2020,12,8,2020,,,25,4,,,,,155,20.5,
709,Aug-20,Clark Fork River below Missoula,BM,8/18/2020,18,8,2020,,,,,8.265,285.35,17.25,,,,2.595
710,Sep-20,Clark Fork River below Missoula,BM,9/13/2020,13,9,2020,,,,,8.04,298.35,14.05,,,,3.38
350,Sep-20,Clark Fork River below Missoula,BM,9/16/2020,16,9,2020,20,,25,6,,,,,156.6666667,11.33333333,
711,Jul-21,Clark Fork River below Missoula,BM,7/13/2021,13,7,2021,,,,,8.44,262.35,17.6,,,,2.045
351,Jul-21,Clark Fork River below Missoula,BM,7/22/2021,22,7,2021,20,,20,1,,,,,130,15,
712,Aug-21,Clark Fork River below Missoula,BM,8/23/2021,23,8,2021,,,,,8.335,298.7,16.4,,,,4.49
352,Aug-21,Clark Fork River below Missoula,BM,8/24/2021,24,8,2021,20,,15,,,,,,160,7,
353,Sep-21,Clark Fork River below Missoula,BM,9/18/2021,18,9,2021,20,,35.33333333,2,,,,,163.3333333,13.66666667,
713,Sep-21,Clark Fork River below Missoula,BM,9/22/2021,22,9,2021,,,,,8.315,323.35,11.95,,,,3.475
354,Oct-21,Clark Fork River below Missoula,BM,10/8/2021,8,10,2021,10,,22,1,,,,,150,15,
355,Jul-22,Clark Fork River below Missoula,BM,7/15/2022,15,7,2022,,,10,4,7.99,237.6,17.4,,140,19,6.14
356,Aug-22,Clark Fork River below Missoula,BM,8/13/2022,13,8,2022,20,,33,18.5,8.353333333,266.7,20.4,,220,31.66666667,3.406666667
357,Sep-22,Clark Fork River below Missoula,BM,9/21/2022,21,9,2022,,,33,1.5,8.295,313.25,15.05,,185,14.5,3.055
