,Group.1,Site,...1,Day,Month,Year,Arsenic..water..filtered..micrograms.per.liter,Arsenic..water..unfiltered..micrograms.per.liter,Cadmium..water..filtered..micrograms.per.liter,Cadmium..water..unfiltered..micrograms.per.liter,Copper..water..filtered..micrograms.per.liter,Copper..water..unfiltered..recoverable..micrograms.per.liter,Iron..water..unfiltered..recoverable..micrograms.per.liter,Iron..water..filtered..micrograms.per.liter,Lead..water..filtered..micrograms.per.liter,Lead..water..unfiltered..recoverable..micrograms.per.liter,Manganese..water..unfiltered..recoverable..micrograms.per.liter,Manganese..water..filtered..micrograms.per.liter,Zinc..water..filtered..micrograms.per.liter,Zinc..water..unfiltered..recoverable..micrograms.per.liter,Aluminum..water..unfiltered..recoverable..micrograms.per.liter,Aluminum..water..filtered..micrograms.per.liter
1,Aug-00,DL,25.5,20,9,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1-Aug,DL,33,21,9,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2-Aug,DL,38,22,9,2002,12.7,13,0.08,0.055,10.7,15.7,99.8,5.4,0.048,1,15.6,8.45,8.3,11,NA,NA
4,3-Aug,DL,46,25,9,2003,15.8,20,0.039,0.106,6.6,17.8,149,8,0.057,1.46,73.4,17.1,2.6,13,NA,NA
5,4-Aug,DL,52.5,12,9,2004,14.7,16,0.035,0.102,6.6,14.2,159,6.4,0.08,1.35,116,34.1,2.6,13,NA,NA
6,5-Aug,DL,61,22,9,2005,14.2,15.9,0.061,0.072,8.4,14.2,74.1,6.3,0.041,0.69,46.7,21.6,10.8,13,NA,NA
7,6-Aug,DL,66.5,13.5,9,2006,12.4,4.8,0.04,0.062,6.5,NA,67.1,5.9,0.04,0.33,162,30.9,4.9,NA,NA,NA
8,7-Aug,DL,75.5,24.5,9,2007,13.5,13.9,0.041,0.045,6.3,10.7,56.7,6.7,0.12,0.53,29.1,11.6,5.9,8.4,NA,NA
9,8-Aug,DL,81,19,9,2008,17.6,19.2,0.03,0.024,6.9,11,54.3,4,0.052,0.55,21.5,4.05,3.5,6.1,NA,NA
10,9-Aug,DL,89,18.66666667,9,2009,19.4,21.2,0.051,0.129,6.8,24.2,334,9.6,0.089,3.09,75.5,21.8,6.9,18.8,NA,NA
11,10-Aug,DL,97.5,18,9,2010,15.2,17.2,0.055,0.097,5.9,14.8,183,9.6,0.086,1.47,52.1,29.1,6.6,13.9,NA,NA
12,11-Aug,DL,113.5,14.25,9,2011,18.7,20,0.089,0.121,7.4,21,244,9.4,0.081,1.95,59.1,31.1,6.6,17.8,NA,NA
13,12-Aug,DL,214,16.52631579,9,2012,16,15.4,0.047,0.058,7.2,12.2,70,13,0.099,0.65,35.3,20,3.6,6.9,NA,NA
14,13-Aug,DL,332.5,15.75,9,2013,13.2,13.3,0.035,0.046,5.5,9.4,76.3,8.3,0.06,0.6,29.3,17,3,5.6,NA,NA
15,14-Aug,DL,493,14.52631579,9,2014,16.8,17.7,0.048,0.06,7,11.8,82.6,13.6,0.121,0.78,34.8,14.6,2.7,6.5,NA,NA
16,15-Aug,DL,604,14.36842105,9,2015,14.1,14.6,0.047,0.05,7.3,10.2,63,13.7,0.114,0.55,22.9,11.7,3.1,5,NA,NA
17,16-Aug,DL,632,9,9,2016,13,15,0.031,0.03,6,8.4,36.3,9.6,0.05,0.23,6.8,2.54,2,3,NA,NA
18,17-Aug,DL,635,15,9,2017,14.8,15,0.051,0.09,8.4,15,122,16.3,0.154,0.97,44,19.5,4.9,11,NA,NA
19,18-Aug,DL,638,14,9,2018,18,18.8,0.077,0.09,9.6,14.4,78.2,17.4,0.113,0.66,26.1,17.7,4.3,7,NA,NA
20,19-Aug,DL,641,20,9,2019,14.9,17.5,0.05,0.08,NA,16.2,137,14.4,0.126,1.05,44.8,22.2,4.2,10,NA,NA
21,20-Aug,DL,648,18,9,2020,13.2,13.9,0.074,0.11,6.2,12.2,90,10.3,0.076,0.7,37.2,23.4,3.9,8,NA,NA
22,21-Aug,DL,651,17,9,2021,13.2,13.3,0.113,0.09,6.7,11.1,84.4,17,0.131,0.75,44.3,24.5,2.4,8,NA,NA
23,22-Aug,DL,654,17,9,2022,12.8,13.6,0.075,0.05,7.2,8.3,39.1,9.3,0.053,0.25,13.8,8.93,2,3,NA,NA
24,Aug-97,DL,5.5,11,9,1997,24,26,0.1,1,10,47.3,470,11,0.5,4.7,90,29.6,9.9,40,NA,NA
25,Aug-98,DL,11,21,9,1998,19,20,0.1,1,6.1,10,70,5,0.6,1,40,23.9,10,10,NA,NA
26,Aug-99,DL,19.5,16,9,1999,18,20,0.1,1,7.2,32.1,377,7,0.5,3.5,147,23.2,4.9,38.2,NA,NA
27,Jul-00,DL,23.5,16.5,8,2000,12,15,0.1,0.1,5.8,12.7,97.8,10,1,1.03,85.5,47.2,3.6,11,NA,NA
28,1-Jul,DL,31,21,8,2001,16.8,22,0.1,0.1,8.7,27.9,327,7.8,1,3,132,23.7,4,24,NA,NA
29,2-Jul,DL,37,17,8,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,3-Jul,DL,44.5,22.5,8,2003,17.8,17,0.06,0.072,8,13.5,76,9.2,0.08,0.67,48.3,34.4,8,13,NA,NA
31,4-Jul,DL,50.5,10.5,8,2004,17.8,17,0.024,0.137,7,10.9,60.8,4.4,0.08,0.52,21.5,8.08,0.9,7,NA,NA
32,5-Jul,DL,58.5,19.5,8,2005,16.2,17.1,0.055,0.063,8.6,11.8,40.3,7.5,0.065,0.37,18.4,13,5.1,7,NA,NA
33,6-Jul,DL,65,25,8,2006,16.7,24.4,0.06,0.096,8.6,15.3,104,5.7,0.07,0.96,73.1,52.1,8.1,14,NA,NA
34,7-Jul,DL,73.5,17,8,2007,17.5,17.2,NA,0.06,7.7,11.6,50.1,6,0.12,0.47,31.7,16.9,3.5,6.4,NA,NA
35,8-Jul,DL,79.5,17,8,2008,17.4,21.6,0.058,0.144,6.9,29.2,410,15.6,0.077,3.3,93.7,37.2,5.6,24.3,NA,NA
36,9-Jul,DL,86.5,14.5,8,2009,16.1,21.1,0.059,0.225,9,47.1,663,21.9,0.137,5.51,101,20.1,5.9,33.9,NA,NA
37,10-Jul,DL,95,12,8,2010,17.3,19.8,0.055,0.107,7.7,19.6,207,7.6,0.099,1.95,54.5,29.7,3.8,13.7,NA,NA
38,11-Jul,DL,109.5,11.5,8,2011,19.4,33.3,0.099,0.355,14.4,103,1780,34.4,0.227,13.7,141,46.1,8.7,66.6,NA,NA
39,12-Jul,DL,194.5,16.15,8,2012,19.8,20.4,0.073,0.151,8.1,26.8,374,25.7,0.169,2.91,87.4,31.6,4.1,20.8,NA,NA
40,13-Jul,DL,312.5,15,8,2013,14.7,17.4,0.049,0.077,3.4,12.5,116,14.5,0.083,0.96,59.2,50.2,2.5,8.8,NA,NA
41,14-Jul,DL,452,16.33333333,8,2014,17.7,19.8,0.059,0.074,7.4,15.1,140,22.2,0.199,1.24,47.1,33.4,3.5,8.6,NA,NA
42,15-Jul,DL,578,12.54545455,8,2015,15.7,16.8,0.046,0.05,6.9,12.4,96.6,8.1,0.103,0.88,28.1,17.4,2.7,7,NA,NA
43,16-Jul,DL,631,12,8,2016,16,16.7,0.053,0.06,7.6,15.5,160,20.1,0.117,1.34,42.5,18.9,2.2,11,NA,NA
44,17-Jul,DL,634,11,8,2017,17.9,18.7,0.061,0.1,10.1,19,158,11.7,0.162,1.34,39.7,23.9,3.5,12,NA,NA
45,18-Jul,DL,637,17,8,2018,17.8,23.2,0.069,0.14,9.8,26.5,310,15.1,0.109,2.26,48,20.3,5.3,19,NA,NA
46,19-Jul,DL,640,16,8,2019,17.6,19.5,0.053,0.1,7.7,17.3,217,14.2,0.097,1.34,44.8,18,2.2,12,NA,NA
47,20-Jul,DL,647,14,8,2020,12.1,15.8,0.091,0.14,7.3,24.2,312,16,0.095,2.06,46.9,17.2,3.6,48,NA,NA
48,21-Jul,DL,650,13,8,2021,13.2,13.6,0.053,0.07,6.6,10.9,83.5,21.2,0.427,0.78,56.7,46.8,3.7,6,NA,NA
49,22-Jul,DL,653,13,8,2022,14.3,14.6,0.085,0.1,6.9,12.4,118,23.8,0.194,0.98,34.6,26.6,2.5,9,NA,NA
50,Jul-97,DL,4,23,8,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,Jul-98,DL,10,29,8,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,Jul-99,DL,17.5,22,8,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,Jun-00,DL,21.5,13.5,7,2000,16.9,19,0.1,0.1,6.8,28.8,335,7.4,1,3.23,157,64.2,12.4,28,NA,NA
54,1-Jun,DL,28.5,5,7,2001,16.3,31,0.1,0.5,19.1,119,1310,36.1,NA,15.7,410,82.2,11.9,109,NA,NA
55,2-Jun,DL,35.5,14,7,2002,20.45,29,0.0565,0.3685,9.5,63.1,922,15.35,0.1475,8.48,211.45,20.6,5.6,57.5,NA,NA
56,3-Jun,DL,41.5,6.75,7,2003,20.35,37,0.0705,0.5395,14.15,139.65,1701.5,34.2,0.3375,19.39,250.8,33.55,7.45,99.5,NA,NA
57,4-Jun,DL,48.5,7,7,2004,17.9,24,0.046,0.151,6.15,23.2,305.5,9.3,0.063,2.47,105.6,30.7,3.65,21,NA,NA
58,5-Jun,DL,56,9.333333333,7,2005,20.05,35,0.0665,0.4755,12.05,97.2,1715,28.75,0.1955,14.15,297,26.95,7.75,79.5,NA,NA
59,6-Jun,DL,63.5,16,7,2006,19.8,27.2,0.06,0.277,10.6,59.6,851,16.7,0.13,7.12,135,23.3,5,42,NA,NA
60,7-Jun,DL,70.5,9.25,7,2007,16.45,20.8,0.085,0.19,7.9,40.75,590.5,16.1,0.09,4.83,124.5,27.7,4.8,30.15,NA,NA
61,8-Jun,DL,77.5,11,7,2008,24.85,36.7,0.0615,0.396,12.8,100.05,1490,18.6,0.171,25.985,244,25.65,7.3,74.8,NA,NA
62,9-Jun,DL,84,9.333333333,7,2009,19.45,31.1,0.0965,0.3925,15.4,97.3,1301,30.05,0.2535,12.765,158.5,25.9,14.3,79.1,NA,NA
63,10-Jun,DL,92,11.33333333,7,2010,16.45,32,0.0875,0.448,10.6,145,2015,17.65,0.167,28.85,253.5,22.45,5.15,92.2,NA,NA
64,11-Jun,DL,104,14.85714286,7,2011,29.6,40.88,0.1958,0.4886,33.14,121.62,1579.2,46.76,0.3796,14.378,143.24,46.18,29.84,97.18,NA,NA
65,12-Jun,DL,150,14.82608696,7,2012,12.2,27.8,0.068,0.456,9.65,123.55,2365,29.55,0.2275,18.04,209.9,24.65,6.5,92.8,NA,NA
66,13-Jun,DL,270.5,15.5,7,2013,16.65,18.95,0.0535,0.1365,6.75,26.6,374.5,23.55,0.1675,2.945,78.75,31.55,4.1,21.35,NA,NA
67,14-Jun,DL,389,15.23809524,7,2014,14.4,22.5,0.065,0.215,8.9,62.6,787,20.2,0.195,6.58,101,19.7,4.4,37.1,NA,NA
68,15-Jun,DL,540,13.60465116,7,2015,17.3,24.1,0.069,0.24,10.9,57.9,824,25.1,0.243,7.08,83.1,18.6,5.1,42,NA,NA
69,16-Jun,DL,630,7,7,2016,19.6,26.6,0.049,0.23,9.5,57.3,862,19.9,0.188,7.21,110,17.4,3.4,41,NA,NA
70,17-Jun,DL,633,13,7,2017,22.8,91.5,0.145,1.86,41.2,538,9990,91.4,0.753,85.1,714,91.4,21.8,434,NA,NA
71,18-Jun,DL,636,6,7,2018,30.9,31.5,0.329,0.36,86.4,87.1,1310,49.5,10.4,10.8,103,106,64,68,NA,NA
72,19-Jun,DL,639,4,7,2019,16.1,30,0.078,0.32,12.8,90.3,1650,28.6,0.213,11.9,148,14.4,5.6,68,NA,NA
73,20-Jun,DL,646,2,7,2020,10.3,23.3,0.102,0.45,10.8,108,1590,33.1,0.275,13,170,16.2,7,82,NA,NA
74,21-Jun,DL,649,8,7,2021,9.3,15,0.086,0.23,6.1,54,863,18.2,0.151,6.24,107,17.2,4.6,39,NA,NA
75,22-Jun,DL,652,8,7,2022,12,24.4,0.196,0.5,6.6,92.4,1690,20.7,0.176,11.5,207,20.8,6.5,78,NA,NA
76,Jun-97,DL,2,12,7,1997,21.5,40.5,0.15,1,25.25,111,1360,25.45,0.5,12.9,175,44.45,15.95,95,NA,NA
77,Jun-98,DL,8,17.33333333,7,1998,16,20,0.1,1,11.7,55.7,840,16.8,0.6,6.2,130,25.8,10,50,NA,NA
78,Jun-99,DL,14,16.4,7,1999,16,23.5,0.1,1,9.9,64.1,915.5,16.6,0.5,7.4,145.5,19.15,20,44.2,NA,NA
79,Sep-00,DL,27,5,10,2000,12.2,15,0.1,0.2,5.2,38.1,494,10,1,4.9,185,28.7,4.7,45,NA,NA
80,1-Sep,DL,34,4,10,2001,10.9,12,0.1,0.1,6,8.2,27.2,10,1,1,11.9,5.7,1.3,4,NA,NA
81,2-Sep,DL,39,5,10,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,3-Sep,DL,47,5,10,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,4-Sep,DL,54,16,10,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,6-Sep,DL,68,20,10,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,8-Sep,DL,82,3,10,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,10-Sep,DL,99.5,7,10,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,12-Sep,DL,231,15.2,10,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,13-Sep,DL,350,15.13333333,10,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,14-Sep,DL,510.5,15.125,10,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,15-Sep,DL,621.5,14.75,10,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,19-Sep,DL,643.5,9.5,10,2019,20.35,26.45,0.055,0.345,9.35,67.6,1267.5,20.05,0.1295,8.11,241,20,5.05,57.5,NA,NA
