,Year,Month,Site,Group.1,Group.2,ActivityStartDate,Day.x,Chlorophyll.a..corrected.for.pheophytin,Weight,Temperature..water,pH,Specific.conductance,Turbidity,T/W,Dissolved.oxygen.saturation,Oxidation.reduction.potential..ORP.,Ammonia,Nitrate...Nitrite,Orthophosphate,Total.dissolved.solids,Total.Nitrogen..mixed.forms,Total.Phosphorus..mixed.forms,Q_CFS.x,Q_CFS.y,anomaly,Days_Since_Freshet,...1,TN_DISS,TP_DISS,X.Arsenic..water..filtered..micrograms.per.liter,X.Cadmium..water..filtered..micrograms.per.liter,X.Copper..water..filtered..micrograms.per.liter,X.Iron..water..filtered..micrograms.per.liter,X.Lead..water..filtered..micrograms.per.liter,X.Manganese..water..filtered..micrograms.per.liter,X.Zinc..water..filtered..micrograms.per.liter
294,2018,9,GR,18-Sep,Clark Fork River above Little Blackfoot,9/6/2018,6,218.3571905,69.89,12.9,8.285,450.85,3.48,0.049792531,105.5,61.75,0.0249,0.0893,0.0079,293.15,0.368,0.0319,2450,270,3.01232038,78,118,0.024,0.3036,20.8,0.062,10.2,10,0.086,7.56,2.1
145,2010,9,DL,10-Sep,Clark Fork River at Deer Lodge,9/9/2010,9,155.67,46,14.9,8.513333333,415,4.18,0.090869565,,-75.13333333,0.008466667,0.070033333,0.020466667,220.6666667,0.323,0.0379,1470,266,2.35081173,84,68,0.017433333,0.261433334,15.2,0.055,5.9,9.6,0.086,29.1,6.6
140,2010,8,GR,10-Aug,Clark Fork River above Little Blackfoot,8/5/2010,5,59.01608,67.80952381,20.13333333,8.266666667,401,,0,,-63.66666667,0.0088,0.0146,0.037633333,213,0.363333333,0.088533333,1980,270,2.708012802,48,110,0.0509,0.357533333,18.1,0.077,8.8,5.7,0.085,29.7,4.2
160,2011,8,MS,11-Aug,Clark Fork River above Missoula,8/10/2011,10,14.90514286,9.785714286,15.4,8.383333333,240.7333333,2.156666667,0.220389294,,205.7,0.009533333,0.00464,0.010966667,156.4333333,0.130333333,0.0181,28100,2580,3.300223154,61,165,0.007133333,0.135226666,5.6,0.029,3.6,17.8,0.084,15.8,2.4
197,2013,8,DL,13-Aug,Clark Fork River at Deer Lodge,8/8/2013,8,331.4482759,110.5714286,17,8.255,500.25,2.805,0.025368217,,-424.25,0.018316667,0.178586667,0.008593333,325.3,0.502916667,0.019136667,349,266,1.145438813,70,71,0.010543334,0.342646667,14.7,0.049,3.4,14.5,0.083,50.2,2.5
105,2008,8,MS,8-Aug,Clark Fork River above Missoula,8/10/2008,10,64.80015,29.22,16.2,8.273333333,276,1.636666667,0.056011864,79.93333333,-47.7,,0.008333333,,146.3,0.141666667,0.009666667,16800,2580,2.551789158,81,162,0.009666667,0.133333334,4.4,0.027,2.7,10.3,0.082,13.8,2.6
163,2011,9,DL,11-Sep,Clark Fork River at Deer Lodge,9/8/2011,8,38.05015,11.11111111,11.65,8.445,375.15,2.475,0.22275,,250.55,0.0075,0.11425,0.0136,244.05,0.3315,0.02905,1960,266,2.71448357,86,69,0.01545,0.22475,18.7,0.089,7.4,9.4,0.081,31.1,6.6
107,2008,9,BN,8-Sep,Clark Fork River at Bonita,9/7/2008,7,246.50005,61.085,13.05,8.66,470,5.465,0.089465499,90.2,-60.55,,0.005,,249.5,0.205,0.038,3100,2830,1.046616625,93,39,0.038,0.2,11.2,0.026,4.3,8,0.08,6.18,2.3
112,2008,9,MS,8-Sep,Clark Fork River above Missoula,9/6/2008,6,80.19047619,19.74285714,12.15,8.35,305,2.745,0.139037627,85.3,-47.15,,0.0085,,161.75,,0.011,16800,2580,2.551789158,108,162,0.011,,3.6,0.04,1.5,8,0.08,9.17,1.8
119,2009,8,BN,9-Aug,Clark Fork River at Bonita,8/7/2009,7,144.8571429,111.7,18.9,8.46,430.3333333,5.643333333,0.050522232,,-59.86666667,0.00759,0.00903,0.011213333,228.6666667,0.261,0.036396667,3700,2830,1.143424897,73,40,0.025183334,0.25956,11.6,0.045,5.3,8.3,0.079,14.4,3.2
347,2021,9,BN,21-Sep,Clark Fork River at Bonita,9/6/2021,6,185.7619048,66.61904762,11.95,8.45,528.4,4.66,0.069949964,,,0.02,,8.00E-04,,0.18,0.0195,1650,2830,0.76356982,102,52,0.0187,0.2,9.9,0.051,3.7,7.1,0.079,11.2,3.4
149,2010,9,MS,10-Sep,Clark Fork River above Missoula,9/8/2010,8,71.9826087,30.72727273,13.26666667,7.723333333,304,2.28,0.074201183,,-31.76666667,0.00605,0.002466667,0.003833333,162.3333333,0.161666667,0.0121,10100,2580,1.978567331,82,164,0.008266667,0.16525,4.7,0.023,2.4,6,0.079,8.85,1.6
273,2017,9,BN,17-Sep,Clark Fork River at Bonita,9/6/2017,6,58.45238095,31.16190476,12.9,8.225,506.3,5.275,0.1692772,89.6,192.85,0.0114,0.01095,0.00675,329.2,0.3345,0.0328,5140,2830,1.347684836,84,48,0.02605,0.33495,11.6,0.03,4.4,10,0.078,13.7,3.1
101,2008,8,DL,8-Aug,Clark Fork River at Deer Lodge,8/11/2008,11,172.0714286,79.77142857,16.03333333,8.853333333,457.3333333,2.09,0.026199857,96.86666667,-73.5,0.01,0.056,,242.6666667,0.289333333,0.018,957,266,1.89677209,67,66,0.018,0.243333333,17.4,0.058,6.9,15.6,0.077,37.2,5.6
330,2020,9,DL,20-Sep,Clark Fork River at Deer Lodge,9/6/2020,6,101.8771429,38.15952381,12.75,8.14,485.4,1.305,0.03419854,,,0.02,0.089666667,0.008333333,,0.253333333,0.013,1590,266,2.444881103,79,78,0.004666667,0.183666666,13.2,0.074,6.2,10.3,0.076,23.4,3.9
147,2010,9,GR,10-Sep,Clark Fork River above Little Blackfoot,9/9/2010,9,119.4666667,59.95,14.53333333,8.443333333,426.3333333,3.786666667,0.063163748,,-72.03333333,0.0103,0.033566667,0.018133333,226.3333333,0.281,0.037633333,1980,270,2.708012802,83,110,0.0195,0.257733333,15.9,0.057,7,7.8,0.076,19.4,4.7
236,2015,9,BN,15-Sep,Clark Fork River at Bonita,9/10/2015,10,57.04761905,26.52380952,13,8.355,479.75,7.275,0.274281867,81.9,103.9,0.0144,0.0017,0.00505,311.7,0.3535,0.037,1500,2830,0.728035257,99,46,0.03195,0.3662,11,0.044,3.4,7.9,0.074,22.4,2.7
300,2019,7,MS,19-Jul,Clark Fork River above Missoula,7/17/2019,17,119.8768095,79.84019512,17.4,8.58,277.3,5.13,0.06425335,92.7,,0.01,0.005,0.0245,180.375,0.125,0.0295,16200,2580,2.505807209,60,173,0.005,0.13,3.5,0.03,3.3,21.8,0.072,8.08,2.3
227,2015,7,MS,15-Jul,Clark Fork River above Missoula,7/4/2015,4,116.8148148,91.59259259,18.75,8.23,224.7,1.86,0.020307319,74,119.75,0.010475,0.0017,0.0016,146.2,0.171666667,0.0109,7010,2580,1.648348951,31,169,0.0093,0.180441667,3.7,0.03,2.2,10.2,0.071,5.37,2
341,2021,8,BN,21-Aug,Clark Fork River at Bonita,8/8/2021,8,185,96.42857143,19.9,8.655,513.45,4.595,0.047651852,,,,,,,0.2,0.019,1650,2830,0.76356982,73,52,0.019,0.2,10.4,0.03,4.9,5.9,0.071,13.3,2
165,2011,9,GR,11-Sep,Clark Fork River above Little Blackfoot,9/8/2011,8,46.61933333,16.66666667,11.8,8.565,383.05,2.82,0.1692,,242.75,0.0127,0.0564,0.01565,248.95,0.3045,0.0323,2560,270,3.079201436,90,111,0.01665,0.2608,19.4,0.099,9.1,8.1,0.07,29.6,5.4
126,2009,9,BN,9-Sep,Clark Fork River at Bonita,9/7/2009,7,225.6190476,56.35,16.76666667,8.373333333,472.6666667,3.64,0.064596273,,-68.46666667,0.011063333,0.007983333,0.010106667,251,0.246,0.02404,3700,2830,1.143424897,104,40,0.013933333,0.24908,11.6,0.039,4.3,9,0.065,11.4,2.6
291,2018,9,BN,18-Sep,Clark Fork River at Bonita,9/6/2018,6,65.22857143,14.67619048,15.15,8.455,459.65,2.8,0.190785204,116.8,55.35,0.03285,0.0043,0.00245,299,0.24,0.02185,5870,2830,1.440210036,77,49,0.0194,0.26855,13,0.09,5.2,10,0.06,11.3,6
204,2013,9,DL,13-Sep,Clark Fork River at Deer Lodge,9/4/2013,4,168.1153846,80.96153846,14.9,8.23,496.95,4.055,0.050085511,,-435.55,0.015045,0.19883,0.008675,323.05,0.451905,0.020785,349,266,1.145438813,97,71,0.01211,0.26812,13.2,0.035,5.5,8.3,0.06,17,3
254,2016,9,BN,16-Sep,Clark Fork River at Bonita,9/7/2016,7,96.27272727,60.10454545,13,8.52,496.95,,0,77.2,214.35,0.0191,0.0023,0.00775,323.05,0.288,0.04775,1330,2830,0.685539688,102,47,0.04,0.3048,10.2,0.03,2.8,6.6,0.06,26.2,2.8
276,2017,9,GR,17-Sep,Clark Fork River above Little Blackfoot,9/6/2017,6,77.34090909,139.9227273,10.9,8.23,487.1,2.665,0.019046227,98.55,214.5,0.0137,0.1808,0.0109,316.6,0.523,0.035,1840,270,2.610520028,84,117,0.0241,0.3559,16.8,0.03,8.3,10,0.059,2.68,2
239,2015,9,GR,15-Sep,Clark Fork River above Little Blackfoot,9/9/2015,9,129.1904762,45.85714286,11.5,8.2,482.45,3.71,0.080903427,84.5,116.65,0.0139,0.02665,0.0055,313.65,0.366,0.0316,807,270,1.728840331,98,115,0.0261,0.35325,16.1,0.03,9.2,7,0.057,12,2
329,2020,9,BN,20-Sep,Clark Fork River at Bonita,9/6/2020,6,144.4933333,29.92238095,13.45,8.23,479.45,5.26,0.17578815,,,0.02,,0.011,,0.175,0.025,3670,2830,1.138779956,107,51,0.014,0.195,12.2,0.048,4.8,10,0.055,18.6,3
366,2022,9,DL,22-Sep,Clark Fork River at Deer Lodge,9/8/2022,8,208.5242,201.6956522,14.1,8.28,537.3,1.94,0.009618452,,,,0.1495,9.00E-04,,0.395,0.008,856,266,1.793891054,88,80,0.0071,0.2455,12.8,0.075,7.2,9.3,0.053,8.93,2
144,2010,9,BN,10-Sep,Clark Fork River at Bonita,9/9/2010,9,138.3571429,82.45,14.3,8.206666667,455.6666667,3.666666667,0.044471397,,-58.46666667,0.006,0.0029,0.0118,245,0.234,0.0292,4130,2830,1.208041372,83,41,0.0174,0.2371,10.9,0.034,3.8,3.5,0.053,11.5,2.3
142,2010,8,MS,10-Aug,Clark Fork River above Missoula,8/6/2010,6,120.95,50.28571429,18.83333333,7.66,283,2.246666667,0.04467803,,-28.5,0.009933333,0.003533333,0.006566667,150.5,0.189,0.0176,10100,2580,1.978567331,49,164,0.011033333,0.1954,4.5,0.028,3.2,3.3,0.053,6.29,2.6
327,2020,8,MS,20-Aug,Clark Fork River above Missoula,8/8/2020,8,119.3466667,117.93375,18.3,8.365,297.3,2.775,0.02353016,,,0.007,0.003,0.0045,,0.2,0.016,20000,2580,2.784230232,79,174,0.0115,0.204,4.2,0.031,2.9,10,0.052,9.83,2.4
108,2008,9,DL,8-Sep,Clark Fork River at Deer Lodge,9/7/2008,7,200.85,45.145,11.9,8.985,464,3.64,0.080629084,97.75,-75.9,0.01,0.061,,251,0.311,0.0255,957,266,1.89677209,94,66,0.0255,0.26,17.6,0.03,6.9,4,0.052,4.05,3.5
180,2012,9,BN,12-Sep,Clark Fork River at Bonita,9/3/2012,3,159.8571905,71.28571429,12.95,8.335,473.75,1.49,0.020901804,,194.35,,0.00199,0.00247,308.1,0.188365,0.011925,2180,2830,0.877677629,128,43,0.009455,0.186375,11.8,0.027,2.9,3.6,0.052,22.6,2.9
162,2011,9,BN,11-Sep,Clark Fork River at Bonita,9/8/2011,8,59.61919048,17.2,13.05,8.43,426.6,3.77,0.219186047,,251.7,0.0062,0.00355,0.0194,277.25,0.2355,0.04135,7740,2830,1.653778199,90,42,0.02195,0.23815,14,0.07,5.4,6.4,0.051,17.8,5.3
365,2022,9,BN,22-Sep,Clark Fork River at Bonita,9/7/2022,7,87.89594762,43.23809524,16.55,8.395,531.9,4.03,0.093204846,,,,,0.00145,,0.22,0.0165,2170,2830,0.875662294,86,53,0.01505,0.22,11.2,0.051,4,5,0.051,12.7,3
289,2018,8,MS,18-Aug,Clark Fork River above Missoula,8/8/2018,8,97.54761905,22.12380952,17.05,8.375,283.15,1.505,0.068026259,98.85,7.95,0.0118,0.0039,0.0033,183.95,0.1385,0.01545,31500,2580,3.49418121,89,172,0.01215,0.1464,5.1,0.03,2.6,10.2,0.05,10.3,2
255,2016,9,DL,16-Sep,Clark Fork River at Deer Lodge,9/7/2016,7,260.6904762,81.25,11,8.205,476.95,2.24,0.027569231,76.4,233.95,0.0208,0.1836,0.00255,309.75,0.4255,0.0162,507,266,1.380585035,108,74,0.01365,0.2627,13,0.031,6,9.6,0.05,2.54,2
124,2009,8,MS,9-Aug,Clark Fork River above Missoula,8/8/2009,8,116.952381,33.7,18.06666667,7.993333333,286.3333333,2.47,0.073293769,,-36.3,0.0074225,0.00652,0.00538,152.2333333,0.161,0.01646,17300,2580,2.589483801,74,163,0.01108,0.1619025,4.4,0.022,2.7,8.1,0.048,8.54,1.7
196,2013,8,BN,13-Aug,Clark Fork River at Bonita,8/7/2013,7,111.952381,60.61904762,17.55,8.315,507.5,2.455,0.040498822,,-446.95,0.010305,0.00236,0.00663,329.9,0.213695,0.014075,1080,2830,0.617758401,68,44,0.007445,0.22164,10.9,0.021,4.5,8.6,0.046,4.24,1.4
257,2016,9,GR,16-Sep,Clark Fork River above Little Blackfoot,9/7/2016,7,125.1761905,52.92285714,11.2,8.24,489.15,1.21,0.022863467,78,77.75,0.02415,0.0349,0.00745,317.8,0.2935,0.0227,598,270,1.488225391,102,116,0.01525,0.28275,15.3,0.03,7.4,7.7,0.044,4.68,2
248,2016,7,MS,16-Jul,Clark Fork River above Missoula,7/12/2016,12,114.755814,76.10093023,17.4,8.28,247.05,1.195,0.01570283,75.15,204.8,,0.0011,8.00E-04,160.55,0.1405,0.009533333,7660,2580,1.723076391,63,170,0.008733333,0.1394,2.8,0.03,2.6,11.8,0.043,4.71,2
368,2022,9,GR,22-Sep,Clark Fork River above Little Blackfoot,9/8/2022,8,99.26024091,102.8636364,15.7,8.48,524.55,1.195,0.011617322,,,,,0.0013,,0.233333333,0.012666667,923,270,1.848923611,87,122,0.011366667,0.233333333,15.5,0.067,7.7,6.1,0.043,3.83,2
131,2009,9,MS,9-Sep,Clark Fork River above Missoula,9/6/2009,6,148.0454545,41.71428571,15.66666667,7.853333333,301.6666667,1.793333333,0.042990868,,-39.56666667,0.010395,0.003896,0.003465,160.0666667,0.161666667,0.010663333,17300,2580,2.589483801,103,163,0.007198333,0.168165667,5.4,0.023,2.3,5.9,0.041,9.3,1.6
217,2014,8,MS,14-Aug,Clark Fork River above Missoula,8/15/2014,15,92.16666667,36.31666667,17.4,7.91,301.15,1.55,0.042680128,,248,0.01265,0.0019,0.0043,195.95,0.1515,0.01155,17100,2580,2.574472174,80,168,0.00725,0.16225,3.6,0.03,1.5,9.9,0.04,5.41,2
252,2016,8,MS,16-Aug,Clark Fork River above Missoula,8/25/2016,25,67.76190476,28.48571429,16.05,8.245,264.65,,0,79.2,-4,0.0198,0.01095,0.00125,171.9,0.321,0.0507,7660,2580,1.723076391,107,170,0.04945,0.32985,3.2,0.03,1.7,9.6,0.04,3.66,2
241,2015,9,MS,15-Sep,Clark Fork River above Missoula,9/8/2015,8,76.0952381,27.95238095,12.65,8.13,303.3,4.785,0.171183986,83.4,139.6,0.00715,,0.0017,196.9,0.232,0.0203,7010,2580,1.648348951,97,169,0.0186,0.23915,3.3,0.03,1.6,6.1,0.04,7.04,2
229,2015,8,BN,15-Aug,Clark Fork River at Bonita,8/5/2015,5,179.15,151.9,16.25,8.215,504.25,4.165,0.027419355,80.9,119.9,0.01315,0.00285,0.0019,327.6,0.261,0.02115,1500,2830,0.728035257,63,46,0.01925,0.2713,10.4,0.03,5.3,5.2,0.04,6.14,2.5
234,2015,8,MS,15-Aug,Clark Fork River above Missoula,8/6/2015,6,61.76190476,22.04761905,16.5,7.985,286,3.005,0.136295896,79.2,175.9,0.01725,0.0026,0.0018,185.9,0.265,0.0157,7010,2580,1.648348951,64,169,0.0139,0.27965,3.1,0.03,1.9,4.8,0.04,3.48,2
307,2019,8,MS,19-Aug,Clark Fork River above Missoula,8/7/2019,7,108.2,53.43619048,18.05,8.52,303.85,2.195,0.04107703,103.45,,0.02,,0.014,197.655,0.13,0.014,16200,2580,2.505807209,81,173,0,0.15,5.2,0.03,2.3,10,0.038,5.49,2
271,2017,8,MS,17-Aug,Clark Fork River above Missoula,8/8/2017,8,106.6142857,56.6,16.75,8.455,267.3,1.62,0.028621908,98.5,243.55,0.0116,0.00205,0.002,173.85,0.18,0.01085,14700,2580,2.386980188,55,171,0.00885,0.18955,4,0.03,2.2,10.9,0.037,6.28,2
278,2017,9,MS,17-Sep,Clark Fork River above Missoula,9/5/2017,5,68.82857143,47.53333333,12.4,8.32,306.15,2.64,0.055539972,90.45,165.5,0.0096,0.00395,0.0019,198.9,0.2105,0.014,14700,2580,2.386980188,83,171,0.0121,0.21615,3.1,0.03,1.5,10,0.036,5.62,2
185,2012,9,MS,12-Sep,Clark Fork River above Missoula,9/5/2012,5,63.28571429,27.42857143,11.75,8.345,280.9,1.415,0.051588542,,222.4,0.00703,0.0022,0.00172,182.65,0.159635,0.0089,17600,2580,2.611839472,130,166,0.00718,0.164465,3.4,0.016,1.2,6.9,0.03,6.81,1.4
346,2021,8,MS,21-Aug,Clark Fork River above Missoula,8/9/2021,9,196.8571429,45.19047619,18.6,8.53,307.45,4.785,0.105885142,,,,,,,0.12,0.015,13500,2580,2.287478555,65,175,0.015,0.12,2.9,0.03,1.5,8.4,0.029,4.27,2
370,2022,9,MS,22-Sep,Clark Fork River above Missoula,9/7/2022,7,95.71087619,40.71428571,14.9,8.365,319.15,3.73,0.091614035,,,,,,,0.115,0.008,11800,2580,2.138607821,87,176,0.008,0.115,2.8,0.03,1.2,7,0.026,4.79,2
167,2011,9,MS,11-Sep,Clark Fork River above Missoula,9/10/2011,10,51.47619048,25.33333333,12.1,8.36,277,2.06,0.081315789,,243.6,0.0088,0.0029,0.0068,180,0.146,0.0135,28100,2580,3.300223154,92,165,0.0067,0.1519,4.8,0.03,2,3.7,0.026,9.2,1.5
178,2012,8,MS,12-Aug,Clark Fork River above Missoula,8/10/2012,10,79.66671429,38.75,16.7,8.35,255.1666667,1.696666667,0.043784946,,102.6333333,0.009133333,0.00361,0.003756667,165.9666667,0.165076667,0.01274,17600,2580,2.611839472,104,166,0.008983333,0.1706,3.3,0.016,1.7,9.2,0.025,5.53,1.6
206,2013,9,MS,13-Sep,Clark Fork River above Missoula,9/5/2013,5,93.38095238,37.95238095,15.15,8.225,294.95,2.32,0.061129235,,-448.4,0.010823333,0.000968,0.00371,191.8,0.146845,0.01041,12300,2580,2.183447242,114,167,0.0067,0.156700333,3.3,0.016,1,6.2,0.025,6.11,1.4
201,2013,8,MS,13-Aug,Clark Fork River above Missoula,8/7/2013,7,74.38095238,34.47619048,16.4,8.205,275.75,2.225,0.064537293,,-448.15,0.01299,0.002025,0.00333,179.45,0.155005,0.01165,12300,2580,2.183447242,85,167,0.00832,0.16597,2.6,0.016,1.5,5.4,0.025,5.15,1.5
314,2019,9,MS,19-Sep,Clark Fork River above Missoula,9/7/2019,7,101.85,29.71428571,13.45,8.285,329.35,,0,88.55,,0.005,0.016,0.017,214.175,0.175,0.0465,16200,2580,2.505807209,112,173,0.0295,0.164,4.6,0.03,1.8,10,0.024,5.67,2
352,2021,9,MS,21-Sep,Clark Fork River above Missoula,9/8/2021,8,103.7619048,46.33333333,11.85,7.935,326.75,3.57,0.07705036,,,,,,,0.115,0.0105,13500,2580,2.287478555,95,175,0.0105,0.115,3.2,0.03,1.4,8.4,0.024,6.98,2
334,2020,9,MS,20-Sep,Clark Fork River above Missoula,9/7/2020,7,92.82,36.91714286,13.85,8.12,324.95,3.915,0.106048293,,,0.02,0.003,0.005666667,,0.125,0.012,20000,2580,2.784230232,109,174,0.006333333,0.142,3.9,0.03,2,10,0.021,7.85,2
296,2018,9,MS,18-Sep,Clark Fork River above Missoula,9/10/2018,10,66.75714286,17.14285714,14.4,8.465,309.7,2.65,0.154583333,108.4,46.2,0.02255,0.0418,0.0014,201.2,0.1535,0.01235,31500,2580,3.49418121,122,172,0.01095,0.13425,4.3,0.03,1.9,10,0.02,6.23,2
99,2008,8,BM,8-Aug,Clark Fork River below Missoula,8/10/2008,10,62.85,15.315,15.86666667,8.443333333,265.6666667,2.593333333,0.169332898,84.16666667,-55.26666667,,0.042333333,,145.4666667,0.242333333,0.013333333,35500,2150,4.063450247,81,12,0.013333333,0.2,,,,,,,
102,2008,8,FH,8-Aug,Clark Fork River above Flathead,8/11/2008,11,3.9001,3.295,19.46666667,8.676666667,221,1.363333333,0.413758219,93.7,-77.2,0.01,0.016,,117.3333333,0.149333333,0.0085,45700,7590,2.453788982,82,93,0.0085,0.143333333,,,,,,,
103,2008,8,GR,8-Aug,Clark Fork River above Little Blackfoot,8/10/2008,10,129.1,102.315,16.3,8.386666667,471.3333333,1.643333333,0.016061509,89.9,-68.43333333,0.01,0.006,,250.6666667,0.206,0.021,,,,,,0.021,0.21,,,,,,,
104,2008,8,HU,8-Aug,Clark Fork River at Huson,8/11/2008,11,11.05,6.205,17.7,8.493333333,243.3333333,2.423333333,0.390545259,91.46666667,-57.9,0.015,0.0785,,129,0.2785,0.01525,35500,2150,4.063450247,82,135,0.01525,0.215,,,,,,,
106,2008,9,BM,8-Sep,Clark Fork River below Missoula,9/8/2008,8,73.2,13.565,11.25,8.655,304.5,3.385,0.249539255,84.85,-62.95,,0.046,,161.75,0.246,0.019,35500,2150,4.063450247,110,12,0.019,0.2,,,,,,,
109,2008,9,FH,8-Sep,Clark Fork River above Flathead,9/7/2008,7,13.3,4.15,16.45,8.865,237,1.77,0.426506024,94.45,-74,,0.014,,126,0.214,0.0095,45700,7590,2.453788982,109,93,0.0095,0.2,,,,,,,
110,2008,9,GR,8-Sep,Clark Fork River above Little Blackfoot,9/7/2008,7,134.8,36.17,12.35,8.965,471,3.18,0.087918164,52.35,-75.5,0.01,0.041,,250.5,0.291,0.0335,,,,,,0.0335,0.26,,,,,,,
111,2008,9,HU,8-Sep,Clark Fork River at Huson,9/7/2008,7,43.15,7.725,13.95,8.73,259,2.205,0.285436893,90.3,-68.9,,0.0305,,137.65,0.2305,0.015,35500,2150,4.063450247,109,135,0.015,0.2,,,,,,,
118,2009,8,BM,9-Aug,Clark Fork River below Missoula,8/8/2009,8,38,10.75,17.2,8.386666667,277.3333333,3.52,0.32744186,,-57.96666667,0.00828,0.04478,0.00531,146.9666667,0.228333333,0.019833333,35300,2150,4.051987741,68,13,0.014523333,0.191833333,,,,,,,
121,2009,8,FH,9-Aug,Clark Fork River above Flathead,8/10/2009,10,23.04761905,7.6,20.43333333,8.676666667,236,1.3,0.171052632,,-75.26666667,0.005888,0.0074625,0.0034775,125.3333333,0.13825,0.0096475,42500,7590,2.36632056,70,94,0.00617,0.1366755,,,,,,,
123,2009,8,HU,9-Aug,Clark Fork River at Huson,8/8/2009,8,39.19047619,9.6,19.36666667,8.473333333,257,3.116666667,0.324652778,,-62.36666667,0.010926667,0.048613333,0.00517,136.6333333,0.263666667,0.016753333,35300,2150,4.051987741,68,136,0.011583333,0.225980001,,,,,,,
125,2009,9,BM,9-Sep,Clark Fork River below Missoula,9/8/2009,8,360.7619048,40.7,15.6,8.306666667,307,2.133333333,0.052416052,,-62.33333333,0.014858,0.041462,0.012128,162.7666667,0.24775,0.027225,35300,2150,4.051987741,99,13,0.015097,0.221146,,,,,,,
