"","ActivityStartDate","date_yearmon","Site","Orthophosphate","month"
"6",2009-07-16,Jul 2009,"Clark Fork River above Flathead",3.88,7
"10",2010-07-15,Jul 2010,"Clark Fork River above Flathead",4.76666666666667,7
"14",2011-07-21,Jul 2011,"Clark Fork River above Flathead",7.6,7
"18",2012-07-19,Jul 2012,"Clark Fork River above Flathead",3.24,7
"21",2013-07-22,Jul 2013,"Clark Fork River above Flathead",3.88333333333333,7
"24",2014-07-10,Jul 2014,"Clark Fork River above Flathead",5.3,7
"27",2015-07-09,Jul 2015,"Clark Fork River above Flathead",2.2,7
"30",2016-07-18,Jul 2016,"Clark Fork River above Flathead",1.2,7
"33",2017-07-19,Jul 2017,"Clark Fork River above Flathead",1.55,7
"36",2018-07-20,Jul 2018,"Clark Fork River above Flathead",3.1,7
"39",2019-07-10,Jul 2019,"Clark Fork River above Flathead",23.5,7
"42",2020-07-22,Jul 2020,"Clark Fork River above Flathead",1,7
"45",2021-07-21,Jul 2021,"Clark Fork River above Flathead",25,7
"49",2022-07-14,Jul 2022,"Clark Fork River above Flathead",2,7
"57",2009-07-09,Jul 2009,"Clark Fork River above Little Blackfoot",21.296,7
"61",2010-07-14,Jul 2010,"Clark Fork River above Little Blackfoot",25.9,7
"65",2011-07-20,Jul 2011,"Clark Fork River above Little Blackfoot",27.5,7
"69",2012-07-15,Jul 2012,"Clark Fork River above Little Blackfoot",19.3825,7
"72",2013-07-17,Jul 2013,"Clark Fork River above Little Blackfoot",18.715,7
"75",2014-07-09,Jul 2014,"Clark Fork River above Little Blackfoot",27.4,7
"78",2015-07-08,Jul 2015,"Clark Fork River above Little Blackfoot",10.85,7
"81",2016-07-13,Jul 2016,"Clark Fork River above Little Blackfoot",23.1,7
"84",2017-07-17,Jul 2017,"Clark Fork River above Little Blackfoot",15.1,7
"87",2018-07-17,Jul 2018,"Clark Fork River above Little Blackfoot",20.35,7
"90",2019-07-09,Jul 2019,"Clark Fork River above Little Blackfoot",46,7
"93",2020-07-22,Jul 2020,"Clark Fork River above Little Blackfoot",9,7
"96",2021-07-23,Jul 2021,"Clark Fork River above Little Blackfoot",4.66666666666667,7
"100",2022-07-22,Jul 2022,"Clark Fork River above Little Blackfoot",21,7
"108",2009-07-15,Jul 2009,"Clark Fork River above Missoula",10.0466666666667,7
"112",2010-07-14,Jul 2010,"Clark Fork River above Missoula",10,7
"116",2011-07-19,Jul 2011,"Clark Fork River above Missoula",11.7,7
"120",2012-07-18,Jul 2012,"Clark Fork River above Missoula",3.47,7
"123",2013-07-17,Jul 2013,"Clark Fork River above Missoula",3.57,7
"126",2014-07-05,Jul 2014,"Clark Fork River above Missoula",9.06666666666667,7
"129",2015-07-04,Jul 2015,"Clark Fork River above Missoula",1.6,7
"132",2016-07-09,Jul 2016,"Clark Fork River above Missoula",0.8,7
"135",2017-07-15,Jul 2017,"Clark Fork River above Missoula",4.2,7
"138",2018-07-13,Jul 2018,"Clark Fork River above Missoula",7.675,7
"141",2019-07-09,Jul 2019,"Clark Fork River above Missoula",24.5,7
"144",2020-07-22,Jul 2020,"Clark Fork River above Missoula",6,7
"147",2021-07-23,Jul 2021,"Clark Fork River above Missoula",1,7
"151",2022-07-23,Jul 2022,"Clark Fork River above Missoula",19.5,7
"159",2009-07-09,Jul 2009,"Clark Fork River at Bonita",20.13,7
"163",2010-07-11,Jul 2010,"Clark Fork River at Bonita",22.2,7
"167",2011-07-20,Jul 2011,"Clark Fork River at Bonita",25.0666666666667,7
"171",2012-07-18,Jul 2012,"Clark Fork River at Bonita",3.77333333333333,7
"174",2013-07-20,Jul 2013,"Clark Fork River at Bonita",5.56,7
"177",2014-07-12,Jul 2014,"Clark Fork River at Bonita",23.3666666666667,7
"180",2015-07-11,Jul 2015,"Clark Fork River at Bonita",2.45,7
"183",2016-07-16,Jul 2016,"Clark Fork River at Bonita",1.23333333333333,7
"186",2017-07-19,Jul 2017,"Clark Fork River at Bonita",12.65,7
"189",2018-07-20,Jul 2018,"Clark Fork River at Bonita",17.5333333333333,7
"192",2019-07-09,Jul 2019,"Clark Fork River at Bonita",39,7
"195",2020-07-22,Jul 2020,"Clark Fork River at Bonita",9,7
"198",2021-07-20,Jul 2021,"Clark Fork River at Bonita",5,7
"210",2009-07-20,Jul 2009,"Clark Fork River at Deer Lodge",16.148,7
"214",2010-07-16,Jul 2010,"Clark Fork River at Deer Lodge",21.925,7
"218",2011-07-20,Jul 2011,"Clark Fork River at Deer Lodge",23.7,7
"222",2012-07-18,Jul 2012,"Clark Fork River at Deer Lodge",12.605,7
"225",2013-07-17,Jul 2013,"Clark Fork River at Deer Lodge",12.18,7
"228",2014-07-09,Jul 2014,"Clark Fork River at Deer Lodge",16.4,7
"231",2015-07-08,Jul 2015,"Clark Fork River at Deer Lodge",4.2,7
"234",2016-07-13,Jul 2016,"Clark Fork River at Deer Lodge",3.6,7
"237",2017-07-17,Jul 2017,"Clark Fork River at Deer Lodge",8.1,7
"240",2018-07-17,Jul 2018,"Clark Fork River at Deer Lodge",15.45,7
"243",2019-07-09,Jul 2019,"Clark Fork River at Deer Lodge",25.5,7
"246",2020-07-22,Jul 2020,"Clark Fork River at Deer Lodge",6,7
"249",2021-07-22,Jul 2021,"Clark Fork River at Deer Lodge",2,7
"261",2009-07-16,Jul 2009,"Clark Fork River at Huson",6.08333333333333,7
"265",2010-07-15,Jul 2010,"Clark Fork River at Huson",5.16666666666667,7
"269",2011-07-21,Jul 2011,"Clark Fork River at Huson",9.73333333333333,7
"273",2012-07-19,Jul 2012,"Clark Fork River at Huson",3.52333333333333,7
"276",2013-07-25,Jul 2013,"Clark Fork River at Huson",3.8325,7
"279",2014-07-10,Jul 2014,"Clark Fork River at Huson",7.4,7
"282",2015-07-09,Jul 2015,"Clark Fork River at Huson",1.95,7
"285",2016-07-21,Jul 2016,"Clark Fork River at Huson",2.15,7
"288",2017-07-23,Jul 2017,"Clark Fork River at Huson",2.1,7
"291",2018-07-15,Jul 2018,"Clark Fork River at Huson",3.45,7
"294",2019-07-12,Jul 2019,"Clark Fork River at Huson",14.3333333333333,7
"297",2020-07-22,Jul 2020,"Clark Fork River at Huson",4,7
"300",2021-07-21,Jul 2021,"Clark Fork River at Huson",1.45,7
"304",2022-07-15,Jul 2022,"Clark Fork River at Huson",2,7
"312",2009-07-16,Jul 2009,"Clark Fork River below Missoula",9.56,7
"316",2010-07-15,Jul 2010,"Clark Fork River below Missoula",8.93333333333333,7
"320",2011-07-21,Jul 2011,"Clark Fork River below Missoula",12.2666666666667,7
"324",2012-07-19,Jul 2012,"Clark Fork River below Missoula",6.78,7
"327",2013-07-18,Jul 2013,"Clark Fork River below Missoula",3.34,7
"330",2014-07-10,Jul 2014,"Clark Fork River below Missoula",8.25,7
"333",2015-07-09,Jul 2015,"Clark Fork River below Missoula",2.3,7
"336",2016-07-16,Jul 2016,"Clark Fork River below Missoula",1.66666666666667,7
"339",2017-07-15,Jul 2017,"Clark Fork River below Missoula",4.26666666666667,7
"342",2018-07-16,Jul 2018,"Clark Fork River below Missoula",8.7,7
"345",2019-07-12,Jul 2019,"Clark Fork River below Missoula",29.6666666666667,7
"348",2020-07-22,Jul 2020,"Clark Fork River below Missoula",5,7
"351",2021-07-22,Jul 2021,"Clark Fork River below Missoula",1,7
"355",2022-07-15,Jul 2022,"Clark Fork River below Missoula",4,7
"587",2022-07-22,Jul 2022,"Clark Fork River at Bonita",22.5,7
"589",2022-07-13,Jul 2022,"Clark Fork River at Deer Lodge",2,7
