,Year,Site,day,month,ActivityStartDate,NH4_mg_L,DIN_mg_L,SRP__mg_L,pH,SPC,Temp_oC,TDS,TP_mg_L,TN_mg_L,TURBIDITY,...1,datetime.x,Day,Month,Q_CFS.x,Q_CFS.x,Q_CFS.y,anomaly,date_column,Days_Since_Freshet,AFDM,CHLa
98,2010,FH,1,8,8/9/2010,0.007591667,0.007883333,0.004158333,8.316666667,214.45,21.96666667,114.05,0.010804167,0.18625,1.655,95,6/7/2010,7,6,26400,4.421603927,7590,1.515144488,8/1/2010,63.26666667,15.66666667,38.36363636
99,2010,FH,1,9,9/9/2010,0.007775,0.008583333,0.003375,8.476666667,239.5,19.6,127.4333333,0.0102375,0.162083333,1.563333333,95,6/7/2010,7,6,26400,4.421603927,7590,1.515144488,9/1/2010,94.5,24,36.90952381
116,2011,MS,1,8,8/12/2011,0.010641667,0.007986667,0.011333333,8.32,223.3,15.45,145.3666667,0.0258,0.157666667,5.021666667,165,6/10/2011,10,6,28100,4.44870632,2580,2.216641899,8/1/2011,63.8,9.785714286,24.07692308
117,2011,MS,1,9,9/11/2011,0.009166667,0.00377,0.008883333,8.371666667,258.8666667,13.75,168.2166667,0.0158,0.138166667,2.108333333,165,6/10/2011,10,6,28100,4.44870632,2580,2.216641899,9/1/2011,93,25.33333333,51.47619048
276,2021,HU,1,8,8/17/2021,0.025,0.016,0.00145,8.18,259.125,18.45,,0.01575,0.1525,2.935,148,6/5/2021,5,6,28200,4.450249108,2150,2.358324428,8/1/2021,73,16.19047619,62.95238095
277,2021,HU,1,9,9/13/2021,0.02,0.01225,,7.9875,287.825,14.725,,0.0135,0.1525,3.0275,148,6/5/2021,5,6,28200,4.450249108,2150,2.358324428,9/1/2021,100.1666667,64.80952381,363.7142857
278,2021,BM,1,8,8/16/2021,0.02,0.0175,0.001,8.3875,280.525,17,,0.011,0.145,3.2675,25,6/5/2021,5,6,28200,4.450249108,2150,2.358324428,8/1/2021,72.5,14.04761905,59.19047619
279,2021,BM,1,7,7/16/2021,0.02,0.02,0.001,8.44,262.35,17.6,,0.015,0.13,2.045,25,6/5/2021,5,6,28200,4.450249108,2150,2.358324428,7/1/2021,41.5,16.38095238,57.33333333
293,2022,HU,1,9,9/12/2022,0.02,0.022416667,0.00145,8.088333333,265.5333333,17.175,,0.021916667,0.2,3.034166667,149,6/13/2022,13,6,28700,4.457881897,2150,2.372180941,9/1/2022,91.5,23.04761905,68.8747619
294,2022,HU,1,8,8/12/2022,0.02,0.022666667,0.00175,7.923333333,214.6333333,18.95,,0.024666667,0.16,4.276666667,149,6/13/2022,13,6,28700,4.457881897,2150,2.372180941,8/1/2022,60.375,14.6875,43.62551875
295,2022,BM,1,7,7/20/2022,,0.01,0.004,7.99,237.6,17.4,,0.019,0.14,6.14,26,6/13/2022,13,6,28700,4.457881897,2150,2.372180941,7/1/2022,37,16.71428571,53.86095714
296,2022,BM,1,9,9/11/2022,0.02,0.033,0.01,8.324166667,289.975,17.725,,0.023083333,0.2025,3.230833333,26,6/13/2022,13,6,28700,4.457881897,2150,2.372180941,9/1/2022,90.75,21.04761905,116.1640619
212,2017,HU,1,8,8/6/2017,0.0130875,0.0576,0.0019,8.095,231.925,19.425,150.625,0.014408333,0.249916667,2.05375,144,6/14/2017,14,6,29200,4.465382851,2150,2.385877439,8/1/2017,53.5,8.97,25.82
213,2017,HU,1,9,9/6/2017,0.01425,0.071475,0.0015,8.1725,259.1,17.225,168.35,0.012375,0.28275,1.9145,144,6/14/2017,14,6,29200,4.465382851,2150,2.385877439,9/1/2017,84.5,12.17142857,35.18571429
214,2017,BM,1,7,7/13/2017,0.010675,0.010766667,0.004266667,8.085,249.05,17.5,161.8,0.015933333,0.153666667,2.265,21,6/14/2017,14,6,29200,4.465382851,2150,2.385877439,7/1/2017,29.08333333,5.071428571,13.5047619
215,2017,BM,1,8,8/10/2017,0.0116125,0.021283333,0.004083333,8.135,261.025,17,169.625,0.015766667,0.174833333,2.025,21,6/14/2017,14,6,29200,4.465382851,2150,2.385877439,8/1/2017,57.5,6.585714286,24.99047619
216,2017,BM,1,9,9/7/2017,0.010825,0.02995,0.004,8.1375,288.1,14.325,187.225,0.016275,0.21225,2.435,21,6/14/2017,14,6,29200,4.465382851,2150,2.385877439,9/1/2017,85,47.01904762,175.8380952
221,2018,MS,1,8,8/9/2018,0.0169,0.0035375,0.0054875,8.28,271.075,18.1,176.15,0.022258333,0.15575,3.12,172,5/11/2018,11,5,31500,4.498310554,2580,2.30266247,8/1/2018,90.25,22.12380952,97.54761905
222,2018,MS,1,9,9/10/2018,0.017175,0.02285,0.00235,8.42,296.425,15.725,192.575,0.0139,0.146,2.0775,172,5/11/2018,11,5,31500,4.498310554,2580,2.30266247,9/1/2018,122.5,17.14285714,66.75714286
263,2021,FH,1,8,8/17/2021,0.02,0.014833333,0.025,8.4425,233.65,14.025,,0.020833333,0.161666667,2.6025,106,6/6/2021,6,6,31700,4.501059262,7590,1.610420025,8/1/2021,72,9.538095238,19.4047619
264,2021,FH,1,9,9/13/2021,0.02,0.008,,8.3325,260.5,15.775,,0.00925,0.1225,2.4425,106,6/6/2021,6,6,31700,4.501059262,7590,1.610420025,9/1/2021,99,19.23809524,50.76190476
140,2013,FH,1,7,7/26/2013,,0.011606667,0.003883333,8.453333333,211.6666667,20.8,137.5666667,0.008866667,0.154586667,1.083333333,98,5/15/2013,15,5,32700,4.514547753,7590,1.627178981,7/1/2013,72.66666667,8.823529412,21.35714286
141,2013,FH,1,8,8/28/2013,0.00873,0.011005833,0.003706667,8.449166667,219.3333333,20.15,142.5583333,0.008953333,0.152953333,1.049166667,98,5/15/2013,15,5,32700,4.514547753,7590,1.627178981,8/1/2013,105.75,7.25,15.57142857
162,2014,HU,1,8,8/16/2014,0.0109,0.01925,0.0058,7.944166667,206.65,18.59166667,134.4,0.0163,0.167083333,2.670833333,141,5/26/2014,26,5,33400,4.523746467,2150,2.495184529,8/1/2014,82.41666667,9.134210526,25.32432432
163,2014,BM,1,7,7/20/2014,,0.0093,0.00825,8.13,228.75,16.95,148.85,0.02025,0.145,3.79,18,5/26/2014,26,5,33400,4.523746467,2150,2.495184529,7/1/2014,55.5,14.63684211,44.15789474
164,2014,BM,1,9,9/6/2014,0.0118,0.0244,0.006875,8.1275,308.925,15.375,200.675,0.0168,0.19,2.335,18,5/26/2014,26,5,33400,4.523746467,2150,2.495184529,9/1/2014,103,19.53809524,123.6666667
136,2012,HU,1,8,8/13/2012,0.010616667,0.0286825,0.003392917,8.31,207.6166667,18.83333333,134.9833333,0.01756375,0.21829375,2.035,139,4/28/2012,28,4,33700,4.527629901,2150,2.502632885,8/1/2012,107.4444444,5.333333333,25.33333333
137,2012,HU,1,9,9/5/2012,0.00947,0.0388625,0.00247625,8.398333333,229.7333333,16.35,149.3083333,0.01493125,0.22048375,2.199166667,139,4/28/2012,28,4,33700,4.527629901,2150,2.502632885,9/1/2012,130.75,9.380952381,47.33333333
138,2012,BM,1,8,8/12/2012,0.01567,0.02843,0.00589,8.256666667,238.8166667,17.05,155.1166667,0.016695,0.230933333,2.208333333,16,4/28/2012,28,4,33700,4.527629901,2150,2.502632885,8/1/2012,106.7777778,12.04761905,32.76190476
139,2012,BM,1,9,9/6/2012,0.0086125,0.038736667,0.003516667,8.27,250.775,14.29166667,162.925,0.013993333,0.207045,2.200833333,16,4/28/2012,28,4,33700,4.527629901,2150,2.502632885,9/1/2012,131.9444444,27.80952381,161.3809524
242,2019,HU,1,9,9/10/2019,0.02375,0.03775,0.014416667,8.42,281.175,17.375,182.8125,0.017833333,0.18,3.3475,146,5/18/2019,18,5,34000,4.531478917,2150,2.510037168,9/1/2019,115.75,17.25,68.1
243,2019,HU,1,8,8/8/2019,0.026666667,0.03575,0.014916667,8.4225,248.95,18.875,162.0125,0.0205,0.18,2.4025,146,5/18/2019,18,5,34000,4.531478917,2150,2.510037168,8/1/2019,82.25,9.0455,29.04275
244,2019,BM,1,8,8/8/2019,0.025,0.032083333,0.021583333,8.585,285.525,17.425,185.74,0.023666667,0.153333333,3.6425,23,5/18/2019,18,5,34000,4.531478917,2150,2.510037168,8/1/2019,82.75,15.06725,44.315
245,2019,BM,1,9,9/9/2019,0.0225,0.039,0.015,8.48,311.35,16.075,202.725,0.03,0.18,6.2975,23,5/18/2019,18,5,34000,4.531478917,2150,2.510037168,9/1/2019,114.75,58.55,253.4
198,2017,FH,1,8,8/6/2017,0.020575,0.0236,0.001575,8.2225,216.025,19.55,140.2,0.00845,0.1595,0.99825,102,6/3/2017,3,6,34500,4.537819095,7590,1.656503812,8/1/2017,64.5,5.76875,10.9
199,2017,FH,1,9,9/9/2017,0.020275,0.024775,0.0016,8.26,236.575,16.775,153.725,0.008775,0.1825,1.17575,102,6/3/2017,3,6,34500,4.537819095,7590,1.656503812,9/1/2017,98,11.72857143,20.43333333
94,2009,HU,1,9,9/7/2009,0.010828333,0.031917667,0.00407,8.433333333,261.6666667,19.13333333,139.1,0.014910417,0.245083333,2.706666667,136,6/1/2009,1,6,35300,4.547774705,2150,2.541628559,9/1/2009,98.39,14.57894737,51.33333333
95,2009,HU,1,8,8/8/2009,0.009158333,0.034406667,0.005626667,8.375,229.7833333,19.56666667,122.15,0.018201667,0.227833333,3.378333333,136,6/1/2009,1,6,35300,4.547774705,2150,2.541628559,8/1/2009,68.66666667,9.6,39.19047619
96,2009,BM,1,8,8/9/2009,0.007073333,0.032798333,0.007435,8.305,259.8333333,16.68333333,137.8166667,0.01944,0.2105,3.883333333,13,6/1/2009,1,6,35300,4.547774705,2150,2.541628559,8/1/2009,69.16666667,10.75,38
97,2009,BM,1,9,9/8/2009,0.011569,0.043121,0.008719,8.346666667,292.1666667,16.4,154.8666667,0.023529167,0.238041667,2.826666667,13,6/1/2009,1,6,35300,4.547774705,2150,2.541628559,9/1/2009,99.5,40.7,360.7619048
80,2008,HU,1,9,9/9/2008,0.015,0.0545,,8.611666667,251.1666667,15.825,133.325,0.015125,0.2,2.314166667,135,5/21/2008,21,5,35500,4.550228353,2150,2.546419576,9/1/2008,111.5,7.725,43.15
81,2008,HU,1,8,8/11/2008,0.015,0.047416667,,8.488333333,210.4,18.78333333,123.4166667,0.017458333,0.2,4.071666667,135,5/21/2008,21,5,35500,4.550228353,2150,2.546419576,8/1/2008,82,6.205,11.05
82,2008,BM,1,8,8/15/2008,0.033333333,0.032333333,,8.481666667,249.3333333,16.33333333,134.65,0.018666667,0.2,3.896666667,12,5/21/2008,21,5,35500,4.550228353,2150,2.546419576,8/1/2008,86.5,15.315,62.85
83,2008,BM,1,9,9/13/2008,0.028333333,0.044166667,,8.549166667,285.0833333,13.55833333,153.6083333,0.016166667,0.2,2.989166667,12,5/21/2008,21,5,35500,4.550228353,2150,2.546419576,9/1/2008,115.1111111,13.565,73.2
280,2022,FH,1,8,8/12/2022,0.02,0.01175,0.01025,8.073333333,198.4166667,19.06666667,,0.017666667,0.16,2.47,107,6/13/2022,13,6,35700,4.552668216,7590,1.675491183,8/1/2022,60.375,4.041176471,7.713405882
281,2022,FH,1,9,9/11/2022,0.02,0.01375,0.00975,8.218333333,241.0666667,17.39166667,,0.027666667,0.21,1.3975,107,6/13/2022,13,6,35700,4.552668216,7590,1.675491183,9/1/2022,90.75,9.674761905,20.48092381
259,2020,HU,1,8,8/10/2020,0.009,0.014,0.004,8.1625,237.9,18.925,,0.01375,0.1375,3.66,147,5/22/2020,22,5,37300,4.571708832,2150,2.588750072,8/1/2020,80.83333333,11.68714286,35.84619048
260,2020,HU,1,9,9/10/2020,0.0145,0.035166667,0.004666667,8.105,278.575,16.65,,0.011583333,0.165833333,2.41,147,5/22/2020,22,5,37300,4.571708832,2150,2.588750072,9/1/2020,111.8333333,20.15380952,80.84666667
261,2020,BM,1,8,8/11/2020,,0.017,0.0045,8.26,269.325,17.9,,0.01825,0.1425,3.3925,24,5/22/2020,22,5,37300,4.571708832,2150,2.588750072,8/1/2020,81.5,17.42095238,55.13571429
262,2020,BM,1,9,9/10/2020,0.02,0.025,0.005,8.1525,291.85,15.65,,0.015916667,0.155833333,2.9875,24,5/22/2020,22,5,37300,4.571708832,2150,2.588750072,9/1/2020,111.3333333,24.88333333,116.3857143
157,2014,FH,1,8,8/17/2014,0.0114,0.009966667,0.004333333,8.053333333,195.5416667,18.85,127.0583333,0.011841667,0.168833333,2.57,99,5/26/2014,26,5,41000,4.612783857,7590,1.754610377,8/1/2014,83.89018088,12.65294118,22.66666667
231,2019,FH,1,8,8/9/2019,0.0225,0.012583333,0.020083333,8.51,227.85,18.975,148.0375,0.0085,0.125833333,2.225,104,5/19/2019,19,5,42000,4.62324929,7590,1.768761072,8/1/2019,82.38888889,9.007,16.581
232,2019,FH,1,9,9/9/2019,0.019925,0.009833333,0.013583333,8.515,256.375,17.875,166.75,0.009,0.128333333,3.755,104,5/19/2019,19,5,42000,4.62324929,7590,1.768761072,9/1/2019,113.25,10.465,24.56
126,2012,FH,1,8,8/12/2012,0.009805,0.009714167,0.003703333,8.406666667,191.1,19.45,124.25,0.008835,0.167779167,1.24,97,4/28/2012,28,4,42200,4.625312451,7590,1.771564185,8/1/2012,106.0444444,16.14,16.11111111
127,2012,FH,1,9,9/5/2012,0.006866667,0.010335,0.002958333,8.518333333,209.3333333,17.15833333,136.2333333,0.00799,0.18111,1.029166667,97,4/28/2012,28,4,42200,4.625312451,7590,1.771564185,9/1/2012,130.75,10.6,19.46153846
84,2009,FH,1,8,8/13/2009,0.007569,0.00664625,0.00367875,8.483333333,215.8,21.26666667,114.6333333,0.010167083,0.137125,1.958333333,94,6/1/2009,1,6,42500,4.62838893,7590,1.775752295,8/1/2009,73.89583333,7.6,23.04761905
85,2009,FH,1,9,9/8/2009,0.00892525,0.00709375,0.00331375,8.588333333,242.6666667,20.3,128.9666667,0.008987083,0.147625,1.33,94,6/1/2009,1,6,42500,4.62838893,7590,1.775752295,9/1/2009,99.91666667,19.1,51.61904762
246,2020,FH,1,8,8/10/2020,,0.0065,0.002,8.1575,220.7,18.95,,0.0075,0.105,2.2775,105,5/22/2020,22,5,42900,4.632457292,7590,1.781305896,8/1/2020,80.83333333,8.275714286,16.75333333
247,2020,FH,1,9,9/9/2020,0.02,0.009375,0.0035,8.185,251.15,16.275,,0.006125,0.11,1.4425,105,5/22/2020,22,5,42900,4.632457292,7590,1.781305896,9/1/2020,110.8333333,8.197619048,16.49809524
70,2008,FH,1,9,9/9/2008,0.01,0.015,,8.770833333,229,17.95833333,121.6666667,0.009,0.166666667,1.566666667,93,5/21/2008,21,5,45700,4.6599162,7590,1.819246193,9/1/2008,111.5,4.15,13.3
71,2008,FH,1,8,8/14/2008,0.01,0.0155,,8.581666667,197.2166667,20.11666667,104.65,0.01125,0.141666667,2.608333333,93,5/21/2008,21,5,45700,4.6599162,7590,1.819246193,8/1/2008,85.91666667,3.295,4.333333333
122,2011,HU,1,9,9/11/2011,0.0118875,0.0412875,0.0060125,8.361666667,230.1833333,15.95833333,149.6083333,0.0180375,0.2092975,2.01,138,6/9/2011,9,6,46600,4.668385917,2150,2.788147973,9/1/2011,94,10.66666667,60
123,2011,HU,1,8,8/13/2011,0.0107875,0.034920833,0.008404167,8.196666667,183.95,16.9,119.6,0.0255625,0.187464167,4.851666667,138,6/9/2011,9,6,46600,4.668385917,2150,2.788147973,8/1/2011,65.6,6.8,16.80952381
124,2011,BM,1,9,9/13/2011,0.015883333,0.040183333,0.008533333,8.395833333,257.9083333,14.225,167.6166667,0.016983333,0.186666667,2.09,15,6/9/2011,9,6,46600,4.668385917,2150,2.788147973,9/1/2011,96.16666667,8.428571429,39.33333333
125,2011,BM,1,8,8/10/2011,0.018116667,0.026616667,0.011366667,8.348333333,221.2833333,15.3,143.8666667,0.02725,0.178666667,4.933333333,15,6/9/2011,9,6,46600,4.668385917,2150,2.788147973,8/1/2011,62.5,13.0952381,44.28571429
227,2018,HU,1,8,8/7/2018,0.01275,0.03235,0.002625,8.0675,237,17.825,154.05,0.0181,0.19925,3.1225,145,5/11/2018,11,5,51200,4.709269961,2150,2.877026311,8/1/2018,88.75,10.13809524,26.85714286
228,2018,HU,1,9,9/10/2018,0.016216667,0.045825,0.00175,8.2025,266.3,15.825,173.1,0.014775,0.22625,2.0325,145,5/11/2018,11,5,51200,4.709269961,2150,2.877026311,9/1/2018,122.4444444,7.357142857,28.75714286
229,2018,BM,1,8,8/10/2018,0.03095,0.021475,0.006775,8.2525,269.275,16.75,175,0.020925,0.18025,2.755,22,5/11/2018,11,5,51200,4.709269961,2150,2.877026311,8/1/2018,91.25,11.46315789,42.51052632
230,2018,BM,1,9,9/12/2018,0.020483333,0.033441667,0.003558333,8.2875,298.125,14.975,193.725,0.015958333,0.200916667,2.1,22,5/11/2018,11,5,51200,4.709269961,2150,2.877026311,9/1/2018,124.7777778,23.26666667,148.3619048
112,2011,FH,1,9,9/11/2011,0.008125,0.0148,0.0045125,8.484166667,209.9333333,16.75833333,136.4416667,0.011675,0.1338075,1.208333333,96,6/10/2011,10,6,54700,4.737987326,7590,1.931591046,9/1/2011,93,6.666666667,14.95238095
113,2011,FH,1,8,8/10/2011,0.009866667,0.013408333,0.0060625,8.335,170.5833333,17.58333333,110.85,0.01905,0.1313075,5.14,96,6/10/2011,10,6,54700,4.737987326,7590,1.931591046,8/1/2011,61,6.944444444,10
217,2018,FH,1,8,8/10/2018,0.010691667,0.017866667,0.0031,8.265,223.7,18.5,145.425,0.011458333,0.148916667,2.0675,103,5/12/2018,12,5,59700,4.775974331,7590,1.988737754,8/1/2018,90.91666667,7.945,15.92105263
218,2018,FH,1,9,9/8/2018,0.018675,0.021691667,0.001,8.2725,248.275,15.85,161.375,0.009658333,0.158916667,1.0925,103,5/12/2018,12,5,59700,4.775974331,7590,1.988737754,9/1/2018,119.5,13.1047619,29.8047619
63,2007,RC1,1,8,8/21/2007,,,,,,,,,,,,,,,,,,,8/1/2007,,,49.72727273
67,2007,CG,1,8,8/20/2007,0.015,0.01675,0.0065,,,,,0.0145,0.15,,,,,,,,,,8/1/2007,,,35.18181818
69,2007,RC2,1,8,8/20/2007,,,,,,,,,,,,,,,,,,,8/1/2007,,,21.27272727
72,2008,GR,1,9,9/9/2008,0.01,0.0235,,8.675833333,471.1666667,14.325,250.5833333,0.02725,0.225,2.411666667,,,,,,,,,9/1/2008,,36.17,134.8
73,2008,GR,1,8,8/10/2008,0.013333333,0.0045,,8.493333333,419,17.76666667,222.8,0.040625,0.2625,2.72,,,,,,,,,8/1/2008,,102.315,129.1
