,ucfr.data.Site.1,ucfr.data.ActivityStartDate,UCFR.tc5.lr005.fitted,ucfr.data.Chlorophyll.a..corrected.for.pheophytin,R
1,FH,8/1/2008,1.653842349,0.726998728,0.439581637
2,FH,9/1/2008,1.704923246,1.155336037,0.67764695
167,HU,8/1/2008,1.549249791,1.080987047,0.697748713
26,FH,8/4/2021,1.636499915,1.309731531,0.800324839
28,FH,8/1/2022,1.157787807,0.940187945,0.81205549
204,BM,8/2/2012,1.864316914,1.52842694,0.819832148
54,GR,7/24/2019,1.829653994,1.544908586,0.844371991
215,BM,7/4/2017,1.371899698,1.161510604,0.846643968
117,BN,8/2/2017,1.675502902,1.429136805,0.85295991
123,BN,7/24/2020,2.021521726,1.752712833,0.867026463
180,HU,8/2/2015,1.414123155,1.227601079,0.868100543
20,FH,8/3/2018,1.407737997,1.228427376,0.872625005
113,BN,9/7/2015,2.015899794,1.763784411,0.87493655
119,BN,8/4/2018,1.601461353,1.404344921,0.87691465
16,FH,7/29/2016,1.238069628,1.086359831,0.877462629
18,FH,8/1/2017,1.212540498,1.075546961,0.887019414
187,HU,9/5/2018,1.661014656,1.47359123,0.887163292
49,GR,7/5/2017,1.735308465,1.544068044,0.889794567
116,BN,7/5/2017,1.524213662,1.356700577,0.890098685
198,BM,8/3/2009,1.785919542,1.591064607,0.890893777
17,FH,9/3/2016,1.310304189,1.16879202,0.892000522
139,DL,9/3/2011,1.851361421,1.660530676,0.896924099
203,BM,9/5/2011,1.779039324,1.605664116,0.902545601
3,FH,8/2/2009,1.525752823,1.381072083,0.905174195
124,BN,8/5/2020,2.03654445,1.847531531,0.907189397
216,BM,8/5/2017,1.557369829,1.414814237,0.908463879
175,HU,8/1/2012,1.561516441,1.420505837,0.909696369
8,FH,9/4/2011,1.321239619,1.202825512,0.910376509
212,BM,9/7/2015,2.070744878,1.88836673,0.911926307
177,HU,7/31/2013,1.283230943,1.176091259,0.916507871
153,DL,9/3/2017,2.059183277,1.891351584,0.918495991
27,FH,9/3/2021,1.858291865,1.714010249,0.922357936
140,DL,7/31/2012,2.217153156,2.045695444,0.922667629
82,MS,7/6/2017,1.590653568,1.467772487,0.922748056
173,HU,8/2/2011,1.353993706,1.250652307,0.923676603
7,FH,8/2/2011,1.124585614,1.041392685,0.926023481
90,MS,7/22/2020,1.729147143,1.603124316,0.927118506
163,DL,9/2/2021,2.164138975,2.010672191,0.929086447
73,MS,9/3/2012,1.945343275,1.808114474,0.929457796
78,MS,8/3/2015,1.932945162,1.797696116,0.930029548
218,BM,8/5/2018,1.755374408,1.638594337,0.933472842
40,GR,6/28/2013,1.931450677,1.807104333,0.935620233
182,HU,7/29/2016,1.72438728,1.613539809,0.935717764
220,BM,8/3/2019,1.769158646,1.656241984,0.936174937
81,MS,8/31/2016,1.960672744,1.837347898,0.93710075
206,BM,8/1/2013,1.467850645,1.37675071,0.937936509
46,GR,9/5/2015,2.24905072,2.114579216,0.940209661
70,MS,8/3/2011,1.488242714,1.399274248,0.940219115
192,HU,8/4/2021,1.917918976,1.805856718,0.941570911
52,GR,8/4/2018,2.102080096,1.9809403,0.942371465
111,BN,7/1/2015,1.955909132,1.844506761,0.943043176
6,FH,9/10/2010,1.673418797,1.578748329,0.943426913
136,DL,8/1/2010,1.843534715,1.747166398,0.947726334
129,BN,7/15/2022,1.932510912,1.831755696,0.947863054
178,HU,8/31/2013,1.448628036,1.377618431,0.950981478
21,FH,9/5/2018,1.562838319,1.488617856,0.952509187
115,BN,9/4/2016,2.086550277,1.987991093,0.952764529
189,HU,9/1/2019,1.927420642,1.839478047,0.95437291
79,MS,9/4/2015,1.9764167,1.887027554,0.954772115
69,MS,9/10/2010,1.950062112,1.863219383,0.955466685
121,BN,7/23/2019,1.933531417,1.847676833,0.955597006
144,DL,9/1/2013,2.330540283,2.228183118,0.95608007
103,BN,8/1/2011,1.623460733,1.55479191,0.957702197
44,GR,7/1/2015,1.960001128,1.88149878,0.959947805
89,MS,9/2/2019,2.091601108,2.012204296,0.962040175
183,HU,9/3/2016,1.925867016,1.853292519,0.962315935
86,MS,9/10/2018,1.90239616,1.830955085,0.962446794
160,DL,9/1/2020,2.089902215,2.012318895,0.962877057
162,DL,8/3/2021,2.223724995,2.147897059,0.965900488
131,BN,9/1/2022,2.015279756,1.948881964,0.967052816
200,BM,8/1/2010,1.888375915,1.828690579,0.968393297
155,DL,9/4/2018,1.93567708,1.876410304,0.969381889
158,DL,7/24/2020,2.079861901,2.017153032,0.969849504
170,HU,9/5/2009,1.769842482,1.718778398,0.971147667
161,DL,7/13/2021,2.145636284,2.084320886,0.97142321
58,GR,7/13/2021,2.058594929,2.002885688,0.972938221
12,FH,8/31/2013,1.252879003,1.219359949,0.973246376
222,BM,8/4/2020,1.796176752,1.749239253,0.973868107
48,GR,9/4/2016,2.149805695,2.100977411,0.977287117
134,DL,8/1/2009,2.312011777,2.260185003,0.97758369
227,BM,9/2/2022,2.11282521,2.06879442,0.97916023
33,GR,9/6/2009,2.144991295,2.104779664,0.981253243
186,HU,8/3/2018,1.471996504,1.444936571,0.98161685
179,HU,8/15/2014,1.442921106,1.420357233,0.984362365
172,HU,9/10/2010,2.004952254,1.974643257,0.984882933
165,DL,8/3/2022,2.279480681,2.247823558,0.986112134
168,HU,9/1/2008,1.667443307,1.644930708,0.986498732
109,BN,9/1/2013,2.108726342,2.081415895,0.987048842
92,MS,9/3/2020,1.997222381,1.972295429,0.98751919
101,BN,8/1/2010,1.821602222,1.79926798,0.987739232
88,MS,8/4/2019,2.062304555,2.038222638,0.988322813
106,BN,9/1/2012,2.25312217,2.227501065,0.988628622
43,GR,8/14/2014,2.005830871,1.985038428,0.989634
10,FH,9/2/2012,1.323306826,1.310938284,0.990653308
110,BN,8/16/2014,2.134679702,2.115184638,0.990867452
148,DL,9/5/2015,2.220693313,2.202436418,0.991778741
56,GR,8/5/2020,2.043915748,2.029247786,0.992823597
84,MS,9/1/2017,1.85696185,1.844033157,0.993037718
97,BN,8/1/2008,2.066361605,2.055951405,0.994962063
223,BM,9/2/2020,2.079319331,2.069615247,0.995333048
38,GR,7/31/2012,1.943689259,1.93545928,0.995765795
9,FH,8/1/2012,1.238519592,1.233278211,0.995768027
209,BM,9/1/2014,2.102941767,2.095750348,0.996580305
60,GR,9/1/2021,2.170543404,2.163927702,0.996952053
157,DL,8/30/2019,2.284849608,2.278691258,0.997304702
37,GR,9/3/2011,1.825265323,1.821295125,0.997824865
195,HU,9/2/2022,1.847734349,1.844320341,0.998152327
19,FH,9/2/2017,1.333381268,1.331089718,0.998281399
156,DL,7/22/2019,2.308749614,2.307464504,0.999443374
36,GR,8/1/2011,1.713341316,1.713210443,0.999923616
188,HU,8/2/2019,1.477678611,1.477739684,1.000041331
108,BN,8/4/2013,2.05086444,2.05289539,1.00099029
74,MS,8/3/2013,1.872112987,1.87726162,1.002750172
176,HU,9/2/2012,1.679392949,1.684246747,1.00289021
14,FH,8/2/2015,1.565885704,1.571126277,1.003346715
208,BM,7/31/2014,1.649011025,1.654733687,1.00347036
127,BN,8/3/2021,2.260463005,2.269512944,1.004003578
42,GR,9/1/2013,2.170027323,2.179175255,1.004215584
211,BM,8/3/2015,1.99543763,2.005343965,1.004964493
171,HU,8/1/2010,1.798613486,1.811209284,1.00700306
34,GR,8/1/2010,1.801068816,1.813899928,1.007124166
126,BN,7/13/2021,2.255341188,2.272474535,1.007596787
94,MS,9/4/2021,2.004656999,2.020203386,1.007755136
66,MS,8/3/2009,2.054372501,2.071706712,1.008437716
75,MS,9/2/2013,1.956691179,1.974884355,1.009297929
25,FH,9/2/2020,1.23067013,1.242990776,1.010011331
185,HU,9/2/2017,1.54196506,1.55853715,1.010747384
67,MS,9/4/2009,2.149259377,2.173318736,1.011194256
154,DL,8/4/2018,1.86430431,1.88536122,1.011294781
151,DL,7/5/2017,2.004613132,2.029287128,1.012308608
226,BM,7/25/2022,1.717426534,1.73926338,1.012714865
71,MS,9/5/2011,1.69789551,1.7199623,1.012996554
51,GR,9/3/2017,1.866793158,1.893988607,1.014568003
194,HU,8/1/2022,1.622038604,1.649583278,1.016981516
105,BN,7/31/2012,2.296050937,2.336745548,1.017723741
63,GR,9/3/2022,1.965692897,2.001128744,1.018027153
191,HU,9/2/2020,1.878975686,1.913000997,1.018108436
5,FH,8/1/2010,1.563731902,1.595095211,1.020056705
32,GR,8/1/2009,1.972700298,2.013699736,1.020783409
99,BN,8/1/2009,2.119558611,2.163927702,1.020933175
138,DL,8/1/2011,1.789340616,1.827307719,1.021218488
201,BM,9/10/2010,2.100410912,2.145595921,1.021512461
61,GR,7/15/2022,1.683155419,1.721133642,1.022563705
141,DL,9/1/2012,2.206654998,2.259389071,1.023897743
47,GR,7/17/2016,2.23845971,2.293308526,1.024502928
118,BN,9/3/2017,1.73076418,1.774169252,1.025078559
128,BN,9/1/2021,2.212835754,2.271288295,1.026415219
120,BN,9/4/2018,1.772702569,1.821045387,1.027270688
39,GR,9/1/2012,2.113726513,2.172491731,1.027801713
166,DL,9/3/2022,2.258142769,2.321234191,1.027939519
22,FH,8/2/2019,1.209802543,1.245043574,1.029129572
102,BN,9/10/2010,2.083034553,2.144129234,1.029329653
13,FH,8/15/2014,1.334888875,1.374137094,1.029401863
147,DL,8/1/2015,2.302144415,2.373437465,1.030968105
72,MS,8/3/2012,1.869572551,1.927626962,1.031052238
57,GR,9/1/2020,2.106342075,2.173110965,1.031698977
4,FH,9/5/2009,1.66584811,1.721142983,1.033193226
80,MS,7/12/2016,1.99717637,2.063542813,1.033230136
104,BN,9/3/2011,1.788150279,1.848531216,1.033767261
184,HU,8/1/2017,1.381495115,1.428458774,1.033994806
164,DL,7/15/2022,2.200210984,2.276092301,1.0344882
122,BN,8/30/2019,2.003091436,2.074267743,1.035533229
149,DL,7/17/2016,2.499287275,2.591178539,1.036766988
152,DL,8/2/2017,2.194547207,2.282363123,1.040015505
142,DL,6/28/2013,2.29382564,2.390758529,1.042258177
190,HU,8/3/2020,1.502625872,1.566392593,1.042436858
225,BM,8/2/2021,1.703817049,1.779527779,1.044435951
145,DL,8/16/2014,2.253008995,2.354236531,1.04492993
213,BM,7/13/2016,2.300323902,2.404393214,1.045241156
143,DL,8/4/2013,2.412472543,2.521724085,1.045286129
146,DL,7/1/2015,2.179192618,2.278535855,1.045587176
41,GR,8/4/2013,2.19366454,2.29642141,1.046842564
174,HU,9/4/2011,1.704287697,1.785329835,1.047551912
15,FH,9/6/2015,1.689082197,1.769799176,1.047787479
55,GR,8/30/2019,2.054248903,2.154103496,1.048608809
24,FH,8/3/2020,1.19115677,1.249279907,1.04879554
96,MS,9/1/2022,1.886730463,1.985475318,1.052336493
224,BM,7/14/2021,1.676539716,1.765916794,1.053310445
87,MS,7/20/2019,1.98663825,2.092722784,1.053399019
150,DL,9/4/2016,2.294328849,2.417787917,1.053810538
125,BN,9/1/2020,2.048832151,2.162843094,1.055646795
62,GR,8/3/2022,1.781188409,1.881366095,1.05624205
214,BM,9/2/2016,2.324370936,2.457521457,1.05728454
107,BN,6/28/2013,1.89086235,2,1.057718453
95,MS,7/24/2022,1.830249439,1.953895783,1.0675571
112,BN,8/1/2015,2.112320235,2.255634266,1.067846735
114,BN,7/17/2016,2.125251953,2.270332547,1.068265126
68,MS,8/1/2010,1.949408123,2.086181805,1.070161645
130,BN,8/3/2022,2.022088443,2.16449645,1.070426201
23,FH,9/1/2019,1.314058499,1.407560849,1.071155394
76,MS,8/16/2014,1.837928533,1.969260558,1.071456546
35,GR,9/10/2010,1.942087001,2.080866894,1.071459154
50,GR,8/2/2017,1.922938299,2.069086393,1.076002488
197,BM,9/1/2008,1.734915088,1.870403905,1.078095359
53,GR,9/4/2018,2.18983815,2.362246791,1.078731225
11,FH,7/31/2013,1.249310119,1.349416302,1.08012917
29,FH,9/2/2022,1.232780859,1.332052955,1.08052696
65,MS,9/1/2008,1.756105064,1.909505089,1.087352419
169,HU,8/2/2009,1.473493998,1.604123152,1.088652654
221,BM,9/3/2019,2.209606177,2.405517107,1.088663279
64,MS,8/1/2008,1.7329919,1.887815805,1.089339081
59,GR,8/3/2021,2.177649286,2.379952656,1.092899886
219,BM,9/10/2018,1.983042797,2.174239843,1.096415996
137,DL,9/10/2010,1.987937748,2.194985843,1.104152203
100,BN,9/6/2009,2.122128149,2.35529641,1.109874732
45,GR,8/1/2015,2.247622012,2.495808547,1.11042183
132,DL,8/1/2008,2.015512917,2.238225379,1.110499148
193,HU,9/2/2021,2.306906454,2.561952775,1.110557721
205,BM,9/3/2012,1.990053461,2.210535084,1.110791809
77,MS,7/3/2015,1.862780691,2.071199905,1.111886071
133,DL,9/1/2008,2.071891602,2.305028754,1.112523817
91,MS,8/6/2020,1.86707581,2.080434066,1.114274019
202,BM,8/3/2011,1.472055845,1.655961222,1.124930978
207,BM,9/2/2013,1.701822125,1.916077773,1.125897792
181,HU,9/6/2015,1.755599875,1.976633782,1.125902212
159,DL,8/5/2020,2.166695244,2.439884095,1.126085499
85,MS,8/6/2018,1.769815386,1.993646136,1.126471242
30,GR,8/1/2008,1.870362452,2.114277297,1.130410469
83,MS,8/4/2017,1.795678657,2.031869927,1.13153315
135,DL,9/6/2009,2.37252896,2.702348462,1.139016007
31,GR,9/1/2008,1.870362452,2.13289977,1.140367081
196,BM,8/1/2008,1.58036001,1.805160902,1.142246634
98,BN,9/1/2008,2.112264171,2.415763853,1.143684529
199,BM,9/7/2009,2.181501827,2.558422832,1.172780513
217,BM,9/1/2017,1.913260923,2.247575828,1.174735657
93,MS,8/5/2021,1.946968016,2.296351733,1.179450157
210,BM,7/4/2015,1.976893695,2.360072478,1.193828724
